gene_id,mean_cpm_ground_1g,mean_cpm_microgravity_0g,n_ground_1g,n_microgravity_0g,log2fc_microgravity_0g_vs_ground_1g
AT4G28520,0.9160566809879156,88.32029062314561,6,5,5.542775800519928
AT5G44120,0.834918354055377,84.16247808128509,6,5,5.536430154430685
AT1G73190,0.537813374389596,69.89309889373871,6,5,5.526692858019731
AT5G40420,0.7462620089340456,73.07250378716519,6,5,5.406596161673162
ATCG00040,1.4508124795520099,64.43002079797233,6,5,4.738620721512329
AT4G25140,0.5490581753313284,39.074404854172016,6,5,4.693217863954228
AT3G54940,1.2266913740126724,56.25554623745641,6,5,4.684441935833587
AT2G28490,0.7139269471060018,38.66812183001721,6,5,4.532602567967353
AT3G15670,2.779569450634749,85.89995818611462,6,5,4.523061678430866
ATCG00520,1.186383801054591,46.721531333421076,6,5,4.448021757152439
ATCG01100,1.933658629479419,62.41844152994149,6,5,4.434129515537776
AT3G02480,4.413285387813556,115.85938497831353,6,5,4.432125342618286
ATCG00500,1.1188575472467126,42.54567595186438,6,5,4.361170965200103
AT5G59310,2.3631257408195814,66.05894872361188,6,5,4.317555241738662
ATMG01190,2.636861881852042,71.2330437858093,6,5,4.311892922236283
AT1G04560,1.263800055118091,43.169784127352116,6,5,4.286241335236928
ATCG00540,1.9870510501600342,56.54186114012299,6,5,4.267818085180575
ATCG00130,3.5081656916639283,84.46168284818881,6,5,4.24466527983721
ATCG01080,0.9682654783149377,35.713095950402796,6,5,4.221298050842542
ATCG01090,0.7183994794544776,29.778891807970517,6,5,4.16280392193781
ATCG00120,11.114545423820521,214.03592042980813,6,5,4.149765496868672
ATCG01130,1.4618785079806849,40.27507642254283,6,5,4.067439413672768
ATMG00090,2.7627645870231023,61.95245886004194,6,5,4.0643977924597054
AT4G37430,2.0908764384340013,50.66306034847081,6,5,4.063045219497238
ATCG00170,1.1568857425740353,34.496498660291756,6,5,4.040655066344914
ATCG01070,0.6794421601763577,24.07926806787844,6,5,3.900441228798365
AT4G26740,0.1374295394108953,15.291578227114607,6,5,3.8402772877302547
ATCG00860,0.4586691022084448,18.879450937142902,6,5,3.768553359369543
ATCG01280,0.4586691022084448,18.879450937142902,6,5,3.768553359369543
AT1G65090,0.3051463155839682,16.705676610410762,6,5,3.7619285197083987
ATCG00740,1.4476053231704595,31.92341914982746,6,5,3.7496713226870315
ATCG00720,6.70432833695421,102.46798561619887,6,5,3.747371449206258
ATCG00800,2.120045075993435,40.725518092404975,6,5,3.741291185891029
ATCG00530,2.865421873595571,48.23105216139695,6,5,3.670870788909815
AT1G52690,56.50915472639605,716.6482184056572,6,5,3.641413289270978
ATCG00360,0.44575176288201884,16.898999531847775,6,5,3.6299871836258943
ATCG01110,0.5979266228026711,18.757134454743046,6,5,3.6281006497866963
ATCG00790,2.0731521758312206,36.61633469118437,6,5,3.613568167591834
AT4G09600,0.535144585378955,17.677716774938563,6,5,3.604871660816264
AT3G51810,3.825847940274001,56.1792947757819,6,5,3.566638463632382
ATCG00780,1.5783686709074374,29.428076156395775,6,5,3.5608726520772875
AT3G20110,5.117068618216707,69.84070754511569,6,5,3.5336662568475212
ATCG00810,1.0871103214957387,23.06719168888391,6,5,3.5274890426086016
AT1G61840,12.466951600929606,153.41873272466142,6,5,3.5193525560293444
AT4G33550,10.924978229097599,133.6211309924792,6,5,3.4968463448687155
ATCG00770,1.0771688420321102,22.43969281267201,6,5,3.4962632676552237
AT5G59320,9.600735946845713,118.1633611563789,6,5,3.4907043911267253
AT2G37870,11.483378434802331,137.97653067411082,6,5,3.4767609364487746
ATCG01060,0.9003659515525806,19.865026647776414,6,5,3.4567375943916883
ATCG00270,16.11329392089686,186.61297279653573,6,5,3.4545702110008616
AT3G01570,1.4283539787850963,25.614921641116855,6,5,3.4541846764477775
AT1G61800,0.500655500588033,15.253322360764946,6,5,3.4370699248611847
ATMG00070,0.9621881916237397,20.187502716175185,6,5,3.432678232368357
AT3G17520,6.54117001819161,79.83201897420457,6,5,3.422066601699451
ATCG00750,0.7836011247259939,17.77473503207016,6,5,3.3959276274904027
AT2G07727,7.644179718168764,87.73406735703577,6,5,3.3596871274922337
AT5G15960,5.973628548679152,68.34494825086475,6,5,3.3138093607581838
AT2G07698,8.543289273172,92.26042834060954,6,5,3.2887065470304666
AT3G21720,168.0663143543251,1644.5461098819828,6,5,3.2829053093346054
ATCG00730,4.264702654957791,49.5862427705723,6,5,3.2643211320499597
ATMG00080,1.9514515320145607,27.285206914299287,6,5,3.260551169221022
ATCG00140,1.7072155282825452,24.63211028349615,6,5,3.24307060630084
