gene_or_label,day,value,condition
Gluconic acid,2,0.046079665,0d darkness
"Glutamic acid, N-acetyl-",2,-0.429619809,0d darkness
Glutathione,2,-1.095282606,0d darkness
Guanosine,2,-0.619203702,0d darkness
2-Isopropylmalic acid,2,-0.211363075,0d darkness
Histidine,2,-1.638310581,0d darkness
Iminodiacetic acid,2,0.483538135,0d darkness
Leucine,2,-0.339540957,0d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,2,-3.436102078,0d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,2,-5.647379265,0d darkness
Lactobionic acid,2,0.039949301,0d darkness
Lactulose,2,-0.28930705,0d darkness
Isoleucine,2,-0.948497493,0d darkness
Loganin,2,0.334990504,0d darkness
"3,4-Dihydroxybenzoic acid",2,-0.946389754,0d darkness
Malic acid,2,-0.618729026,0d darkness
Mimosine,2,0.087359963,0d darkness
"N,N-Dimethylglycine",2,-0.669040902,0d darkness
N-Acetyl-L-Tyrosine,2,-2.664967508,0d darkness
Naringin,2,-1.504721387,0d darkness
N-Ethylmaleamic acid,2,0.726039437,0d darkness
Nicotinamide adenine dinucleotide phosphate (NADP),2,0.117678317,0d darkness
O-palmitoyl-L-Carnitine chloride,2,-0.057439069,0d darkness
Pantothenic acid (Vitamine B5) ,2,-1.045693411,0d darkness
3-Deoxy-D-manno-2-octulosonic acid,2,-0.685336644,0d darkness
3-Hydroxyphenylacetic acid,2,0.867633564,0d darkness
porphobilinogen,2,-0.300515428,0d darkness
Purine,2,-0.888835256,0d darkness
Pyroglutamic acid,2,-1.150305926,0d darkness
"Quercetin 3,7-dirhamnoside",2,-2.138039765,0d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,2,-4.59632462,0d darkness
Riboflavin ,2,-0.230863864,0d darkness
Rutin,2,-2.530332615,0d darkness
Saccharic acid,2,0.435905083,0d darkness
S-Adenosyl-L-Homocysteine,2,-0.772293169,0d darkness
Sedoheptulose,2,0.002113351,0d darkness
Serine,2,-1.230734918,0d darkness
Sinapoylglucose,2,-2.294640516,0d darkness
Succinoadenosine,2,-0.27115025,0d darkness
"Trehalose, alpha,beta-",2,0.09164528,0d darkness
Tyrosine,2,-0.640096152,0d darkness
Uric acid,2,-5.27849567,0d darkness
Uridine,2,-0.79514118,0d darkness
Uridine-5'-diphosphogalactose,2,-0.658428828,0d darkness
(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,3,-0.252398133,0d darkness
Phe-Val,3,-0.373127592,0d darkness
6-Hydroxymelatonin,3,-0.034697851,0d darkness
adenine,3,-0.618928547,0d darkness
Adenosine,3,-0.478153633,0d darkness
Allantoic acid,3,0.075174357,0d darkness
alpha-D-Galacturonic acid 1-phosphate,3,-0.181531335,0d darkness
alpha-Ketoglutaric acid,3,-0.928682756,0d darkness
Argininosuccinic acid,3,-0.338565562,0d darkness
Aspartic acid,3,-0.385914274,0d darkness
beta-Nicotinamide adenine dinucleotide,3,-0.684706207,0d darkness
Cellobiitol,3,-0.013808049,0d darkness
Citric acid,3,1.616637139,0d darkness
Flavin Mononucleotide,3,-0.08924237,0d darkness
Flavine adenine dinucleotide (FAD),3,-0.606285585,0d darkness
Formimino-L-Aspartic acid,3,0.342874842,0d darkness
Glucoalyssin,3,-0.718305127,0d darkness
Glucohirsutin,3,-0.462043418,0d darkness
Glucoiberin,3,-1.427469489,0d darkness
Gluconic acid,3,0.037672417,0d darkness
"Glutamic acid, N-acetyl-",3,-0.714801933,0d darkness
Glutathione,3,-1.195973908,0d darkness
Guanosine,3,-0.551505286,0d darkness
2-Isopropylmalic acid,3,-0.106194552,0d darkness
Histidine,3,-1.445196329,0d darkness
Iminodiacetic acid,3,0.048774692,0d darkness
Leucine,3,-0.856375877,0d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,3,-2.41157275,0d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,3,-3.311901759,0d darkness
Lactobionic acid,3,-0.000749593,0d darkness
Lactulose,3,-0.332363606,0d darkness
Isoleucine,3,-1.246719782,0d darkness
Loganin,3,0.543246473,0d darkness
"3,4-Dihydroxybenzoic acid",3,-0.856165539,0d darkness
Malic acid,3,-0.637726956,0d darkness
Mimosine,3,0.054552849,0d darkness
"N,N-Dimethylglycine",3,-0.637248459,0d darkness
N-Acetyl-L-Tyrosine,3,-2.27719058,0d darkness
Naringin,3,-1.190919891,0d darkness
N-Ethylmaleamic acid,3,-0.34550379,0d darkness
Nicotinamide adenine dinucleotide phosphate (NADP),3,0.103427414,0d darkness
O-palmitoyl-L-Carnitine chloride,3,-0.026351556,0d darkness
Pantothenic acid (Vitamine B5) ,3,-0.108185826,0d darkness
3-Deoxy-D-manno-2-octulosonic acid,3,-0.166457301,0d darkness
3-Hydroxyphenylacetic acid,3,0.039904169,0d darkness
porphobilinogen,3,-0.407137036,0d darkness
Purine,3,-0.845531599,0d darkness
Pyroglutamic acid,3,-1.218276762,0d darkness
"Quercetin 3,7-dirhamnoside",3,-2.252918264,0d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,3,-2.781309724,0d darkness
Riboflavin ,3,-0.287178657,0d darkness
Rutin,3,-2.470083182,0d darkness
Saccharic acid,3,0.481796564,0d darkness
S-Adenosyl-L-Homocysteine,3,-0.780563929,0d darkness
Sedoheptulose,3,0.097215055,0d darkness
Serine,3,-1.007837683,0d darkness
Sinapoylglucose,3,-2.576174234,0d darkness
Succinoadenosine,3,0.066353404,0d darkness
"Trehalose, alpha,beta-",3,0.111863273,0d darkness
Tyrosine,3,-0.906327035,0d darkness
Uric acid,3,-1.208180654,0d darkness
Uridine,3,-0.793506979,0d darkness
Uridine-5'-diphosphogalactose,3,-0.601982816,0d darkness
(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,4,-0.282489441,0d darkness
Phe-Val,4,-0.010204207,0d darkness
6-Hydroxymelatonin,4,-0.033338668,0d darkness
adenine,4,-0.054781341,0d darkness
Adenosine,4,-0.650148524,0d darkness
Allantoic acid,4,0.315959863,0d darkness
alpha-D-Galacturonic acid 1-phosphate,4,-0.449092538,0d darkness
alpha-Ketoglutaric acid,4,-0.92719873,0d darkness
Argininosuccinic acid,4,-0.62873018,0d darkness
Aspartic acid,4,-0.379766604,0d darkness
beta-Nicotinamide adenine dinucleotide,4,-0.592604163,0d darkness
Cellobiitol,4,-0.00952363,0d darkness
Citric acid,4,0.790130558,0d darkness
Flavin Mononucleotide,4,-0.127074214,0d darkness
Flavine adenine dinucleotide (FAD),4,-0.3939438,0d darkness
Formimino-L-Aspartic acid,4,0.235179809,0d darkness
Glucoalyssin,4,-0.835206652,0d darkness
Glucohirsutin,4,-0.191298314,0d darkness
Glucoiberin,4,-1.441108129,0d darkness
Gluconic acid,4,-0.042002611,0d darkness
"Glutamic acid, N-acetyl-",4,-0.751897517,0d darkness
Glutathione,4,-0.807159987,0d darkness
Guanosine,4,-0.710722459,0d darkness
2-Isopropylmalic acid,4,-0.406441301,0d darkness
Histidine,4,-1.69586952,0d darkness
Iminodiacetic acid,4,0.314680168,0d darkness
Leucine,4,-0.745554047,0d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,4,-2.182616159,0d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,4,-3.208670145,0d darkness
Lactobionic acid,4,-0.070169078,0d darkness
Lactulose,4,-0.259067884,0d darkness
Isoleucine,4,-0.874333835,0d darkness
Loganin,4,0.560869438,0d darkness
"3,4-Dihydroxybenzoic acid",4,-1.198414942,0d darkness
Malic acid,4,-0.646238539,0d darkness
Mimosine,4,-0.00559461,0d darkness
"N,N-Dimethylglycine",4,-0.621838426,0d darkness
N-Acetyl-L-Tyrosine,4,-2.383240197,0d darkness
Naringin,4,-1.541034611,0d darkness
N-Ethylmaleamic acid,4,0.174137325,0d darkness
Nicotinamide adenine dinucleotide phosphate (NADP),4,-0.007443996,0d darkness
O-palmitoyl-L-Carnitine chloride,4,0.007215079,0d darkness
Pantothenic acid (Vitamine B5) ,4,-0.331894857,0d darkness
3-Deoxy-D-manno-2-octulosonic acid,4,-0.3849066,0d darkness
3-Hydroxyphenylacetic acid,4,1.080453473,0d darkness
porphobilinogen,4,-0.387664873,0d darkness
Purine,4,-0.547629537,0d darkness
Pyroglutamic acid,4,-1.242817671,0d darkness
"Quercetin 3,7-dirhamnoside",4,-3.611380549,0d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,4,-3.529457742,0d darkness
Riboflavin ,4,-0.382571616,0d darkness
Rutin,4,-2.626750097,0d darkness
Saccharic acid,4,0.515230011,0d darkness
S-Adenosyl-L-Homocysteine,4,-0.713426683,0d darkness
Sedoheptulose,4,0.215392254,0d darkness
Serine,4,-0.899765857,0d darkness
Sinapoylglucose,4,-1.676020301,0d darkness
Succinoadenosine,4,-0.798483405,0d darkness
"Trehalose, alpha,beta-",4,0.122074446,0d darkness
Tyrosine,4,-0.4521684,0d darkness
Uric acid,4,-4.814953761,0d darkness
Uridine,4,-0.89952197,0d darkness
Uridine-5'-diphosphogalactose,4,-0.597598858,0d darkness
(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,5,-0.201896788,0d darkness
Phe-Val,5,-1.031737558,0d darkness
6-Hydroxymelatonin,5,-0.03549762,0d darkness
adenine,5,-0.291033697,0d darkness
Adenosine,5,-0.857792765,0d darkness
Allantoic acid,5,0.425244331,0d darkness
alpha-D-Galacturonic acid 1-phosphate,5,-0.341041907,0d darkness
alpha-Ketoglutaric acid,5,-0.874636206,0d darkness
Argininosuccinic acid,5,-0.531483769,0d darkness
Aspartic acid,5,-0.418484172,0d darkness
beta-Nicotinamide adenine dinucleotide,5,-0.496454306,0d darkness
Cellobiitol,5,-0.008956821,0d darkness
Citric acid,5,1.411998739,0d darkness
Flavin Mononucleotide,5,-0.099014872,0d darkness
Flavine adenine dinucleotide (FAD),5,-0.301124579,0d darkness
Formimino-L-Aspartic acid,5,0.206000694,0d darkness
Glucoalyssin,5,-5.676964251,0d darkness
Glucohirsutin,5,-0.113373761,0d darkness
Glucoiberin,5,-1.403828254,0d darkness
Gluconic acid,5,-0.009342374,0d darkness
"Glutamic acid, N-acetyl-",5,-0.513942713,0d darkness
Glutathione,5,-1.12140785,0d darkness
Guanosine,5,-0.621408291,0d darkness
2-Isopropylmalic acid,5,-0.21845637,0d darkness
Histidine,5,-1.703785222,0d darkness
Iminodiacetic acid,5,0.385392702,0d darkness
Leucine,5,-0.554946661,0d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,5,-2.830113925,0d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,5,-4.102413243,0d darkness
Lactobionic acid,5,-0.305024352,0d darkness
Lactulose,5,-0.25291947,0d darkness
Isoleucine,5,-1.19475434,0d darkness
Loganin,5,1.186993638,0d darkness
"3,4-Dihydroxybenzoic acid",5,-1.157435042,0d darkness
Malic acid,5,-0.589906388,0d darkness
Mimosine,5,0.041469754,0d darkness
"N,N-Dimethylglycine",5,-0.646068597,0d darkness
N-Acetyl-L-Tyrosine,5,-2.572905458,0d darkness
Naringin,5,-1.369259439,0d darkness
N-Ethylmaleamic acid,5,-0.331767056,0d darkness
Nicotinamide adenine dinucleotide phosphate (NADP),5,0.115149137,0d darkness
O-palmitoyl-L-Carnitine chloride,5,-0.014735545,0d darkness
Pantothenic acid (Vitamine B5) ,5,-0.32330273,0d darkness
3-Deoxy-D-manno-2-octulosonic acid,5,-0.403602133,0d darkness
3-Hydroxyphenylacetic acid,5,0.200369538,0d darkness
porphobilinogen,5,-0.650105937,0d darkness
Purine,5,-1.011872599,0d darkness
Pyroglutamic acid,5,-1.277548916,0d darkness
"Quercetin 3,7-dirhamnoside",5,-2.818348867,0d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,5,-4.035469055,0d darkness
Riboflavin ,5,-0.461907883,0d darkness
Rutin,5,-2.407766854,0d darkness
Saccharic acid,5,0.252450297,0d darkness
S-Adenosyl-L-Homocysteine,5,-0.736084699,0d darkness
Sedoheptulose,5,-0.076149164,0d darkness
Serine,5,-1.116123972,0d darkness
Sinapoylglucose,5,-2.146584291,0d darkness
Succinoadenosine,5,-0.153526572,0d darkness
"Trehalose, alpha,beta-",5,0.063490504,0d darkness
Tyrosine,5,-0.68575624,0d darkness
Uric acid,5,-1.825420554,0d darkness
Uridine,5,-0.932913521,0d darkness
Uridine-5'-diphosphogalactose,5,-0.718857189,0d darkness
(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,6,-0.327784027,0d darkness
Phe-Val,6,-0.550365563,0d darkness
6-Hydroxymelatonin,6,-0.03737547,0d darkness
adenine,6,-0.262058762,0d darkness
Adenosine,6,-1.016283023,0d darkness
Allantoic acid,6,-0.046014628,0d darkness
alpha-D-Galacturonic acid 1-phosphate,6,-1.677406869,0d darkness
alpha-Ketoglutaric acid,6,-0.854430632,0d darkness
Argininosuccinic acid,6,-0.528473775,0d darkness
Aspartic acid,6,-0.439136852,0d darkness
beta-Nicotinamide adenine dinucleotide,6,-0.514552019,0d darkness
Cellobiitol,6,0.02810082,0d darkness
Citric acid,6,1.201977878,0d darkness
Flavin Mononucleotide,6,-0.234532258,0d darkness
Flavine adenine dinucleotide (FAD),6,-0.162121254,0d darkness
Formimino-L-Aspartic acid,6,0.165645277,0d darkness
Glucoalyssin,6,-1.77690721,0d darkness
Glucohirsutin,6,0.071726399,0d darkness
Glucoiberin,6,-1.47646644,0d darkness
Gluconic acid,6,0.048304945,0d darkness
"Glutamic acid, N-acetyl-",6,-0.819894987,0d darkness
Glutathione,6,-0.921851588,0d darkness
Guanosine,6,-0.599907066,0d darkness
2-Isopropylmalic acid,6,-0.252944698,0d darkness
Histidine,6,-1.81300754,0d darkness
Iminodiacetic acid,6,-0.178442224,0d darkness
Leucine,6,-0.910102452,0d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,6,-2.725059446,0d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,6,-3.639278848,0d darkness
Lactobionic acid,6,-0.138018628,0d darkness
Lactulose,6,-0.297242229,0d darkness
Isoleucine,6,-1.238028745,0d darkness
Loganin,6,0.791495044,0d darkness
"3,4-Dihydroxybenzoic acid",6,-1.213926805,0d darkness
Malic acid,6,-0.65932012,0d darkness
Mimosine,6,0.081424692,0d darkness
"N,N-Dimethylglycine",6,-0.610562765,0d darkness
N-Acetyl-L-Tyrosine,6,-2.499344491,0d darkness
Naringin,6,-1.447171842,0d darkness
N-Ethylmaleamic acid,6,-0.52625975,0d darkness
Nicotinamide adenine dinucleotide phosphate (NADP),6,0.122136608,0d darkness
O-palmitoyl-L-Carnitine chloride,6,-0.066009034,0d darkness
Pantothenic acid (Vitamine B5) ,6,-0.207763868,0d darkness
3-Deoxy-D-manno-2-octulosonic acid,6,-0.460778472,0d darkness
3-Hydroxyphenylacetic acid,6,-0.72108696,0d darkness
porphobilinogen,6,-0.10780368,0d darkness
Purine,6,-0.657739732,0d darkness
Pyroglutamic acid,6,-1.203282142,0d darkness
"Quercetin 3,7-dirhamnoside",6,-3.418133993,0d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,6,-3.924527125,0d darkness
Riboflavin ,6,-0.763666934,0d darkness
Rutin,6,-2.573806031,0d darkness
Saccharic acid,6,0.359141199,0d darkness
S-Adenosyl-L-Homocysteine,6,-0.857363247,0d darkness
Sedoheptulose,6,0.284293472,0d darkness
Serine,6,-1.049319949,0d darkness
Sinapoylglucose,6,-2.228826151,0d darkness
Succinoadenosine,6,-0.683156508,0d darkness
"Trehalose, alpha,beta-",6,0.279482365,0d darkness
Tyrosine,6,-0.83394518,0d darkness
Uric acid,6,-2.163641967,0d darkness
Uridine,6,-0.942317617,0d darkness
Uridine-5'-diphosphogalactose,6,-0.666725469,0d darkness
(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,7,-0.223901991,0d darkness
Phe-Val,7,0.847096162,0d darkness
6-Hydroxymelatonin,7,-0.03689512,0d darkness
adenine,7,-0.666875296,0d darkness
Adenosine,7,-0.593432355,0d darkness
Allantoic acid,7,-0.090005465,0d darkness
alpha-D-Galacturonic acid 1-phosphate,7,-1.567775894,0d darkness
alpha-Ketoglutaric acid,7,-0.836378596,0d darkness
Argininosuccinic acid,7,-0.317871882,0d darkness
Aspartic acid,7,-0.428256053,0d darkness
beta-Nicotinamide adenine dinucleotide,7,-0.523342545,0d darkness
Cellobiitol,7,0.008738799,0d darkness
Citric acid,7,1.636347694,0d darkness
Flavin Mononucleotide,7,-0.083040058,0d darkness
Flavine adenine dinucleotide (FAD),7,-0.197269281,0d darkness
Formimino-L-Aspartic acid,7,0.279145998,0d darkness
Glucoalyssin,7,-8.415873998,0d darkness
Glucohirsutin,7,-0.844968629,0d darkness
Glucoiberin,7,-1.452561636,0d darkness
Gluconic acid,7,0.056436707,0d darkness
"Glutamic acid, N-acetyl-",7,-0.397554427,0d darkness
Glutathione,7,-1.20112521,0d darkness
Guanosine,7,-0.455540841,0d darkness
2-Isopropylmalic acid,7,-0.182786026,0d darkness
Histidine,7,-1.633220577,0d darkness
Iminodiacetic acid,7,-0.11651146,0d darkness
Leucine,7,-0.749050997,0d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,7,-2.262153748,0d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,7,-3.291141059,0d darkness
Lactobionic acid,7,0.333571159,0d darkness
Lactulose,7,-0.234473738,0d darkness
Isoleucine,7,-0.836849819,0d darkness
Loganin,7,0.594545861,0d darkness
"3,4-Dihydroxybenzoic acid",7,-0.916069401,0d darkness
Malic acid,7,-0.514921438,0d darkness
Mimosine,7,0.085569546,0d darkness
"N,N-Dimethylglycine",7,-0.549152337,0d darkness
N-Acetyl-L-Tyrosine,7,-1.856130264,0d darkness
Naringin,7,-1.942593406,0d darkness
N-Ethylmaleamic acid,7,0.303259103,0d darkness
Nicotinamide adenine dinucleotide phosphate (NADP),7,0.194196381,0d darkness
O-palmitoyl-L-Carnitine chloride,7,-0.076859204,0d darkness
Pantothenic acid (Vitamine B5) ,7,-0.261030245,0d darkness
3-Deoxy-D-manno-2-octulosonic acid,7,-0.480138379,0d darkness
3-Hydroxyphenylacetic acid,7,-0.198018424,0d darkness
porphobilinogen,7,-0.20685937,0d darkness
Purine,7,-0.494381563,0d darkness
Pyroglutamic acid,7,-1.380105608,0d darkness
"Quercetin 3,7-dirhamnoside",7,-2.275243108,0d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,7,-3.211799603,0d darkness
Riboflavin ,7,-0.322231741,0d darkness
Rutin,7,-2.524946612,0d darkness
Saccharic acid,7,0.318084721,0d darkness
S-Adenosyl-L-Homocysteine,7,-0.679365927,0d darkness
Sedoheptulose,7,0.018741952,0d darkness
Serine,7,-1.053466205,0d darkness
Sinapoylglucose,7,-2.479259877,0d darkness
Succinoadenosine,7,0.118524733,0d darkness
"Trehalose, alpha,beta-",7,0.048737527,0d darkness
Tyrosine,7,-0.364353401,0d darkness
Uric acid,7,-5.38599742,0d darkness
Uridine,7,-0.869178404,0d darkness
Uridine-5'-diphosphogalactose,7,-0.45211912,0d darkness
(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,8,-0.518872401,0d darkness
Phe-Val,8,-0.109375825,0d darkness
6-Hydroxymelatonin,8,-0.03853631,0d darkness
adenine,8,-0.844803622,0d darkness
Adenosine,8,-0.775810789,0d darkness
Allantoic acid,8,-0.692683963,0d darkness
alpha-D-Galacturonic acid 1-phosphate,8,-0.936117326,0d darkness
alpha-Ketoglutaric acid,8,-0.90052658,0d darkness
Argininosuccinic acid,8,-0.493639352,0d darkness
Aspartic acid,8,-0.500789089,0d darkness
beta-Nicotinamide adenine dinucleotide,8,-0.736876096,0d darkness
Cellobiitol,8,-0.065793829,0d darkness
Citric acid,8,1.262436097,0d darkness
Flavin Mononucleotide,8,-0.062947949,0d darkness
Flavine adenine dinucleotide (FAD),8,-0.677762939,0d darkness
Formimino-L-Aspartic acid,8,0.411986441,0d darkness
Glucoalyssin,8,-3.00852497,0d darkness
Glucohirsutin,8,0.341327842,0d darkness
Glucoiberin,8,-1.480948325,0d darkness
Gluconic acid,8,0.019316694,0d darkness
"Glutamic acid, N-acetyl-",8,-0.889834352,0d darkness
Glutathione,8,-1.112508946,0d darkness
Guanosine,8,-0.821852762,0d darkness
2-Isopropylmalic acid,8,-0.101873156,0d darkness
Histidine,8,-2.075630776,0d darkness
Iminodiacetic acid,8,-0.662324822,0d darkness
Leucine,8,-1.117818027,0d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,8,-2.581237833,0d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,8,-4.059058689,0d darkness
Lactobionic acid,8,0.07115332,0d darkness
Lactulose,8,-0.406477196,0d darkness
Isoleucine,8,-1.324334941,0d darkness
Loganin,8,1.461576181,0d darkness
"3,4-Dihydroxybenzoic acid",8,-0.96447354,0d darkness
Malic acid,8,-0.576887292,0d darkness
Mimosine,8,0.058272064,0d darkness
"N,N-Dimethylglycine",8,-0.775206138,0d darkness
N-Acetyl-L-Tyrosine,8,-2.030617487,0d darkness
Naringin,8,-1.929615316,0d darkness
N-Ethylmaleamic acid,8,0.199929526,0d darkness
Nicotinamide adenine dinucleotide phosphate (NADP),8,0.114249218,0d darkness
O-palmitoyl-L-Carnitine chloride,8,-0.056802063,0d darkness
Pantothenic acid (Vitamine B5) ,8,-0.013135242,0d darkness
3-Deoxy-D-manno-2-octulosonic acid,8,-0.671295884,0d darkness
3-Hydroxyphenylacetic acid,8,1.214239627,0d darkness
porphobilinogen,8,-0.56166493,0d darkness
Purine,8,-0.848499221,0d darkness
Pyroglutamic acid,8,-1.298456576,0d darkness
"Quercetin 3,7-dirhamnoside",8,-2.482741068,0d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,8,-3.289372004,0d darkness
Riboflavin ,8,-0.492728698,0d darkness
Rutin,8,-2.523454589,0d darkness
Saccharic acid,8,0.126574073,0d darkness
S-Adenosyl-L-Homocysteine,8,-0.630932041,0d darkness
Sedoheptulose,8,-0.016429489,0d darkness
Serine,8,-1.076534055,0d darkness
Sinapoylglucose,8,-2.598422216,0d darkness
Succinoadenosine,8,-0.202806324,0d darkness
"Trehalose, alpha,beta-",8,-0.112795222,0d darkness
Tyrosine,8,-0.759116936,0d darkness
Uric acid,8,-0.789950484,0d darkness
Uridine,8,-0.960851003,0d darkness
Uridine-5'-diphosphogalactose,8,-0.620996706,0d darkness
(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,9,0.018454124,0d darkness
Phe-Val,9,-1.301491896,0d darkness
6-Hydroxymelatonin,9,-0.032356259,0d darkness
adenine,9,-0.6373103,0d darkness
Adenosine,9,-0.933056286,0d darkness
Allantoic acid,9,-0.601728689,0d darkness
alpha-D-Galacturonic acid 1-phosphate,9,-0.658550453,0d darkness
alpha-Ketoglutaric acid,9,-1.0827597,0d darkness
Argininosuccinic acid,9,-0.253593026,0d darkness
