gene_or_label,day,value,condition
(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,1,-0.238167999,0d darkness
Phe-Val,1,0.406432931,0d darkness
6-Hydroxymelatonin,1,-0.040458107,0d darkness
adenine,1,0.242425485,0d darkness
Adenosine,1,-1.304137456,0d darkness
Allantoic acid,1,0.588494559,0d darkness
alpha-D-Galacturonic acid 1-phosphate,1,-1.017239062,0d darkness
alpha-Ketoglutaric acid,1,-0.76188168,0d darkness
Argininosuccinic acid,1,-0.534533092,0d darkness
Aspartic acid,1,-0.347797377,0d darkness
beta-Nicotinamide adenine dinucleotide,1,-0.619773252,0d darkness
Cellobiitol,1,0.018660047,0d darkness
Citric acid,1,1.317560579,0d darkness
Flavin Mononucleotide,1,0.106786117,0d darkness
Flavine adenine dinucleotide (FAD),1,-0.302197813,0d darkness
Formimino-L-Aspartic acid,1,0.398565504,0d darkness
Glucoalyssin,1,-2.777773496,0d darkness
Glucohirsutin,1,0.824549053,0d darkness
Glucoiberin,1,-1.481691089,0d darkness
Gluconic acid,1,0.039432328,0d darkness
"Glutamic acid, N-acetyl-",1,-0.368642303,0d darkness
Glutathione,1,-1.192353973,0d darkness
Guanosine,1,-1.189260012,0d darkness
2-Isopropylmalic acid,1,-0.080110221,0d darkness
Histidine,1,-1.606225499,0d darkness
Iminodiacetic acid,1,0.503785467,0d darkness
Leucine,1,-0.943911452,0d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,1,-2.697890191,0d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,1,-3.236843195,0d darkness
Lactobionic acid,1,0.196011919,0d darkness
Lactulose,1,-0.230061612,0d darkness
Isoleucine,1,-1.262443763,0d darkness
Loganin,1,0.854969354,0d darkness
"3,4-Dihydroxybenzoic acid",1,-1.034321308,0d darkness
Malic acid,1,-0.583329364,0d darkness
Mimosine,1,0.061088737,0d darkness
"N,N-Dimethylglycine",1,-0.575360494,0d darkness
N-Acetyl-L-Tyrosine,1,-2.287186755,0d darkness
Naringin,1,-1.780462448,0d darkness
N-Ethylmaleamic acid,1,0.015077277,0d darkness
Nicotinamide adenine dinucleotide phosphate (NADP),1,0.278080627,0d darkness
O-palmitoyl-L-Carnitine chloride,1,-0.042918969,0d darkness
Pantothenic acid (Vitamine B5) ,1,-0.233932805,0d darkness
3-Deoxy-D-manno-2-octulosonic acid,1,-0.324646783,0d darkness
3-Hydroxyphenylacetic acid,1,-0.593323403,0d darkness
porphobilinogen,1,-0.484060323,0d darkness
Purine,1,-0.539653656,0d darkness
Pyroglutamic acid,1,-1.342071919,0d darkness
"Quercetin 3,7-dirhamnoside",1,-3.702693292,0d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,1,-3.494057855,0d darkness
Riboflavin ,1,-0.171176905,0d darkness
Rutin,1,-2.580682196,0d darkness
Saccharic acid,1,0.688649455,0d darkness
S-Adenosyl-L-Homocysteine,1,-1.088961891,0d darkness
Sedoheptulose,1,0.266161675,0d darkness
Serine,1,-0.997140198,0d darkness
Sinapoylglucose,1,-2.294319701,0d darkness
Succinoadenosine,1,-0.039516528,0d darkness
"Trehalose, alpha,beta-",1,0.184976165,0d darkness
Tyrosine,1,-0.3692075,0d darkness
Uric acid,1,-1.647810302,0d darkness
Uridine,1,-0.862194957,0d darkness
Uridine-5'-diphosphogalactose,1,-0.52804321,0d darkness
(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,2,-0.379679755,0d darkness
Phe-Val,2,0.442076726,0d darkness
6-Hydroxymelatonin,2,-0.035842095,0d darkness
adenine,2,0.042282419,0d darkness
Adenosine,2,-0.557301209,0d darkness
Allantoic acid,2,0.562997435,0d darkness
alpha-D-Galacturonic acid 1-phosphate,2,-1.078556785,0d darkness
alpha-Ketoglutaric acid,2,-0.926913862,0d darkness
Argininosuccinic acid,2,-0.275511939,0d darkness
Aspartic acid,2,-0.412617031,0d darkness
beta-Nicotinamide adenine dinucleotide,2,-0.811778531,0d darkness
Cellobiitol,2,-0.028744774,0d darkness
Citric acid,2,1.363716281,0d darkness
Flavin Mononucleotide,2,-0.071474678,0d darkness
Flavine adenine dinucleotide (FAD),2,-0.613741787,0d darkness
Formimino-L-Aspartic acid,2,0.187115403,0d darkness
Glucoalyssin,2,-6.343449654,0d darkness
Glucohirsutin,2,-0.363837685,0d darkness
Glucoiberin,2,-1.443289346,0d darkness
