metabolite_id,metabolite_name,accession,accession_idx,timepoint,intensity,metabolite_class
Met.1,(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,ecotype.173,1,0d darkness,-0.238167999,unknown
Met.1006,Phe-Val,ecotype.173,1,0d darkness,0.406432931,unknown
Met.125,6-Hydroxymelatonin,ecotype.173,1,0d darkness,-0.040458107,unknown
Met.136,adenine,ecotype.173,1,0d darkness,0.242425485,unknown
Met.138,Adenosine,ecotype.173,1,0d darkness,-1.304137456,unknown
Met.193,Allantoic acid,ecotype.173,1,0d darkness,0.588494559,unknown
Met.202,alpha-D-Galacturonic acid 1-phosphate,ecotype.173,1,0d darkness,-1.017239062,unknown
Met.205,alpha-Ketoglutaric acid,ecotype.173,1,0d darkness,-0.76188168,unknown
Met.222,Argininosuccinic acid,ecotype.173,1,0d darkness,-0.534533092,unknown
Met.261,Aspartic acid,ecotype.173,1,0d darkness,-0.347797377,oragnic acid
Met.300,beta-Nicotinamide adenine dinucleotide,ecotype.173,1,0d darkness,-0.619773252,unknown
Met.312,Cellobiitol,ecotype.173,1,0d darkness,0.018660047,unknown
Met.321,Citric acid,ecotype.173,1,0d darkness,1.317560579,unknown
Met.384,Flavin Mononucleotide,ecotype.173,1,0d darkness,0.106786117,unknown
Met.385,Flavine adenine dinucleotide (FAD),ecotype.173,1,0d darkness,-0.302197813,unknown
Met.387,Formimino-L-Aspartic acid,ecotype.173,1,0d darkness,0.398565504,unknown
Met.409,Glucoalyssin,ecotype.173,1,0d darkness,-2.777773496,unknown
Met.412,Glucohirsutin,ecotype.173,1,0d darkness,0.824549053,unknown
Met.413,Glucoiberin,ecotype.173,1,0d darkness,-1.481691089,unknown
Met.414,Gluconic acid,ecotype.173,1,0d darkness,0.039432328,unknown
Met.422,"Glutamic acid, N-acetyl-",ecotype.173,1,0d darkness,-0.368642303,unknown
Met.457,Glutathione,ecotype.173,1,0d darkness,-1.192353973,unknown
Met.486,Guanosine,ecotype.173,1,0d darkness,-1.189260012,unknown
Met.50,2-Isopropylmalic acid,ecotype.173,1,0d darkness,-0.080110221,unknown
Met.503,Histidine,ecotype.173,1,0d darkness,-1.606225499,unknown
Met.536,Iminodiacetic acid,ecotype.173,1,0d darkness,0.503785467,unknown
Met.545,Leucine,ecotype.173,1,0d darkness,-0.943911452,unknown
Met.563,Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,ecotype.173,1,0d darkness,-2.697890191,unknown
Met.564,Kaempferol 3-O-glucoside 7-O-rhamnoside,ecotype.173,1,0d darkness,-3.236843195,unknown
Met.569,Lactobionic acid,ecotype.173,1,0d darkness,0.196011919,unknown
Met.570,Lactulose,ecotype.173,1,0d darkness,-0.230061612,unknown
Met.571,Isoleucine,ecotype.173,1,0d darkness,-1.262443763,unknown
Met.589,Loganin,ecotype.173,1,0d darkness,0.854969354,unknown
Met.60,"3,4-Dihydroxybenzoic acid",ecotype.173,1,0d darkness,-1.034321308,unknown
Met.614,Malic acid,ecotype.173,1,0d darkness,-0.583329364,unknown
Met.646,Mimosine,ecotype.173,1,0d darkness,0.061088737,unknown
Met.660,"N,N-Dimethylglycine",ecotype.173,1,0d darkness,-0.575360494,unknown
Met.669,N-Acetyl-L-Tyrosine,ecotype.173,1,0d darkness,-2.287186755,unknown
Met.674,Naringin,ecotype.173,1,0d darkness,-1.780462448,unknown
Met.684,N-Ethylmaleamic acid,ecotype.173,1,0d darkness,0.015077277,unknown
Met.694,Nicotinamide adenine dinucleotide phosphate (NADP),ecotype.173,1,0d darkness,0.278080627,unknown
Met.719,O-palmitoyl-L-Carnitine chloride,ecotype.173,1,0d darkness,-0.042918969,unknown
Met.728,Pantothenic acid (Vitamine B5) ,ecotype.173,1,0d darkness,-0.233932805,unknown
Met.73,3-Deoxy-D-manno-2-octulosonic acid,ecotype.173,1,0d darkness,-0.324646783,unknown
Met.77,3-Hydroxyphenylacetic acid,ecotype.173,1,0d darkness,-0.593323403,unknown
Met.779,porphobilinogen,ecotype.173,1,0d darkness,-0.484060323,unknown
Met.809,Purine,ecotype.173,1,0d darkness,-0.539653656,unknown
Met.817,Pyroglutamic acid,ecotype.173,1,0d darkness,-1.342071919,unknown
Met.819,"Quercetin 3,7-dirhamnoside",ecotype.173,1,0d darkness,-3.702693292,unknown
Met.821,Quercetin 3-O-glucoside 7-O-rhamnoside,ecotype.173,1,0d darkness,-3.494057855,unknown
Met.830,Riboflavin ,ecotype.173,1,0d darkness,-0.171176905,unknown
Met.836,Rutin,ecotype.173,1,0d darkness,-2.580682196,unknown
Met.837,Saccharic acid,ecotype.173,1,0d darkness,0.688649455,unknown
Met.840,S-Adenosyl-L-Homocysteine,ecotype.173,1,0d darkness,-1.088961891,unknown
Met.846,Sedoheptulose,ecotype.173,1,0d darkness,0.266161675,unknown
Met.850,Serine,ecotype.173,1,0d darkness,-0.997140198,amino acid
Met.876,Sinapoylglucose,ecotype.173,1,0d darkness,-2.294319701,unknown
Met.886,Succinoadenosine,ecotype.173,1,0d darkness,-0.039516528,unknown
Met.936,"Trehalose, alpha,beta-",ecotype.173,1,0d darkness,0.184976165,unknown
Met.964,Tyrosine,ecotype.173,1,0d darkness,-0.3692075,unknown
Met.985,Uric acid,ecotype.173,1,0d darkness,-1.647810302,unknown
Met.986,Uridine,ecotype.173,1,0d darkness,-0.862194957,unknown
Met.989,Uridine-5'-diphosphogalactose,ecotype.173,1,0d darkness,-0.52804321,unknown
Met.1,(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,ecotype.5887,2,0d darkness,-0.379679755,unknown
Met.1006,Phe-Val,ecotype.5887,2,0d darkness,0.442076726,unknown
Met.125,6-Hydroxymelatonin,ecotype.5887,2,0d darkness,-0.035842095,unknown
Met.136,adenine,ecotype.5887,2,0d darkness,0.042282419,unknown
Met.138,Adenosine,ecotype.5887,2,0d darkness,-0.557301209,unknown
Met.193,Allantoic acid,ecotype.5887,2,0d darkness,0.562997435,unknown
Met.202,alpha-D-Galacturonic acid 1-phosphate,ecotype.5887,2,0d darkness,-1.078556785,unknown
Met.205,alpha-Ketoglutaric acid,ecotype.5887,2,0d darkness,-0.926913862,unknown
Met.222,Argininosuccinic acid,ecotype.5887,2,0d darkness,-0.275511939,unknown
Met.261,Aspartic acid,ecotype.5887,2,0d darkness,-0.412617031,oragnic acid
Met.300,beta-Nicotinamide adenine dinucleotide,ecotype.5887,2,0d darkness,-0.811778531,unknown
Met.312,Cellobiitol,ecotype.5887,2,0d darkness,-0.028744774,unknown
Met.321,Citric acid,ecotype.5887,2,0d darkness,1.363716281,unknown
Met.384,Flavin Mononucleotide,ecotype.5887,2,0d darkness,-0.071474678,unknown
Met.385,Flavine adenine dinucleotide (FAD),ecotype.5887,2,0d darkness,-0.613741787,unknown
Met.387,Formimino-L-Aspartic acid,ecotype.5887,2,0d darkness,0.187115403,unknown
Met.409,Glucoalyssin,ecotype.5887,2,0d darkness,-6.343449654,unknown
Met.412,Glucohirsutin,ecotype.5887,2,0d darkness,-0.363837685,unknown
Met.413,Glucoiberin,ecotype.5887,2,0d darkness,-1.443289346,unknown
Met.414,Gluconic acid,ecotype.5887,2,0d darkness,0.046079665,unknown
Met.422,"Glutamic acid, N-acetyl-",ecotype.5887,2,0d darkness,-0.429619809,unknown
Met.457,Glutathione,ecotype.5887,2,0d darkness,-1.095282606,unknown
Met.486,Guanosine,ecotype.5887,2,0d darkness,-0.619203702,unknown
Met.50,2-Isopropylmalic acid,ecotype.5887,2,0d darkness,-0.211363075,unknown
Met.503,Histidine,ecotype.5887,2,0d darkness,-1.638310581,unknown
Met.536,Iminodiacetic acid,ecotype.5887,2,0d darkness,0.483538135,unknown
Met.545,Leucine,ecotype.5887,2,0d darkness,-0.339540957,unknown
Met.563,Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,ecotype.5887,2,0d darkness,-3.436102078,unknown
Met.564,Kaempferol 3-O-glucoside 7-O-rhamnoside,ecotype.5887,2,0d darkness,-5.647379265,unknown
Met.569,Lactobionic acid,ecotype.5887,2,0d darkness,0.039949301,unknown
Met.570,Lactulose,ecotype.5887,2,0d darkness,-0.28930705,unknown
Met.571,Isoleucine,ecotype.5887,2,0d darkness,-0.948497493,unknown
Met.589,Loganin,ecotype.5887,2,0d darkness,0.334990504,unknown
Met.60,"3,4-Dihydroxybenzoic acid",ecotype.5887,2,0d darkness,-0.946389754,unknown
Met.614,Malic acid,ecotype.5887,2,0d darkness,-0.618729026,unknown
Met.646,Mimosine,ecotype.5887,2,0d darkness,0.087359963,unknown
Met.660,"N,N-Dimethylglycine",ecotype.5887,2,0d darkness,-0.669040902,unknown
Met.669,N-Acetyl-L-Tyrosine,ecotype.5887,2,0d darkness,-2.664967508,unknown
Met.674,Naringin,ecotype.5887,2,0d darkness,-1.504721387,unknown
Met.684,N-Ethylmaleamic acid,ecotype.5887,2,0d darkness,0.726039437,unknown
Met.694,Nicotinamide adenine dinucleotide phosphate (NADP),ecotype.5887,2,0d darkness,0.117678317,unknown
Met.719,O-palmitoyl-L-Carnitine chloride,ecotype.5887,2,0d darkness,-0.057439069,unknown
Met.728,Pantothenic acid (Vitamine B5) ,ecotype.5887,2,0d darkness,-1.045693411,unknown
Met.73,3-Deoxy-D-manno-2-octulosonic acid,ecotype.5887,2,0d darkness,-0.685336644,unknown
Met.77,3-Hydroxyphenylacetic acid,ecotype.5887,2,0d darkness,0.867633564,unknown
Met.779,porphobilinogen,ecotype.5887,2,0d darkness,-0.300515428,unknown
Met.809,Purine,ecotype.5887,2,0d darkness,-0.888835256,unknown
Met.817,Pyroglutamic acid,ecotype.5887,2,0d darkness,-1.150305926,unknown
Met.819,"Quercetin 3,7-dirhamnoside",ecotype.5887,2,0d darkness,-2.138039765,unknown
Met.821,Quercetin 3-O-glucoside 7-O-rhamnoside,ecotype.5887,2,0d darkness,-4.59632462,unknown
Met.830,Riboflavin ,ecotype.5887,2,0d darkness,-0.230863864,unknown
Met.836,Rutin,ecotype.5887,2,0d darkness,-2.530332615,unknown
Met.837,Saccharic acid,ecotype.5887,2,0d darkness,0.435905083,unknown
Met.840,S-Adenosyl-L-Homocysteine,ecotype.5887,2,0d darkness,-0.772293169,unknown
Met.846,Sedoheptulose,ecotype.5887,2,0d darkness,0.002113351,unknown
Met.850,Serine,ecotype.5887,2,0d darkness,-1.230734918,amino acid
Met.876,Sinapoylglucose,ecotype.5887,2,0d darkness,-2.294640516,unknown
Met.886,Succinoadenosine,ecotype.5887,2,0d darkness,-0.27115025,unknown
Met.936,"Trehalose, alpha,beta-",ecotype.5887,2,0d darkness,0.09164528,unknown
Met.964,Tyrosine,ecotype.5887,2,0d darkness,-0.640096152,unknown
Met.985,Uric acid,ecotype.5887,2,0d darkness,-5.27849567,unknown
Met.986,Uridine,ecotype.5887,2,0d darkness,-0.79514118,unknown
Met.989,Uridine-5'-diphosphogalactose,ecotype.5887,2,0d darkness,-0.658428828,unknown
