metabolite_id,metabolite_name,accession,accession_idx,timepoint,intensity,metabolite_class
Met.1,(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,ecotype.223,3,0d darkness,-0.252398133,unknown
Met.1006,Phe-Val,ecotype.223,3,0d darkness,-0.373127592,unknown
Met.125,6-Hydroxymelatonin,ecotype.223,3,0d darkness,-0.034697851,unknown
Met.136,adenine,ecotype.223,3,0d darkness,-0.618928547,unknown
Met.138,Adenosine,ecotype.223,3,0d darkness,-0.478153633,unknown
Met.193,Allantoic acid,ecotype.223,3,0d darkness,0.075174357,unknown
Met.202,alpha-D-Galacturonic acid 1-phosphate,ecotype.223,3,0d darkness,-0.181531335,unknown
Met.205,alpha-Ketoglutaric acid,ecotype.223,3,0d darkness,-0.928682756,unknown
Met.222,Argininosuccinic acid,ecotype.223,3,0d darkness,-0.338565562,unknown
Met.261,Aspartic acid,ecotype.223,3,0d darkness,-0.385914274,oragnic acid
Met.300,beta-Nicotinamide adenine dinucleotide,ecotype.223,3,0d darkness,-0.684706207,unknown
Met.312,Cellobiitol,ecotype.223,3,0d darkness,-0.013808049,unknown
Met.321,Citric acid,ecotype.223,3,0d darkness,1.616637139,unknown
Met.384,Flavin Mononucleotide,ecotype.223,3,0d darkness,-0.08924237,unknown
Met.385,Flavine adenine dinucleotide (FAD),ecotype.223,3,0d darkness,-0.606285585,unknown
Met.387,Formimino-L-Aspartic acid,ecotype.223,3,0d darkness,0.342874842,unknown
Met.409,Glucoalyssin,ecotype.223,3,0d darkness,-0.718305127,unknown
Met.412,Glucohirsutin,ecotype.223,3,0d darkness,-0.462043418,unknown
Met.413,Glucoiberin,ecotype.223,3,0d darkness,-1.427469489,unknown
Met.414,Gluconic acid,ecotype.223,3,0d darkness,0.037672417,unknown
Met.422,"Glutamic acid, N-acetyl-",ecotype.223,3,0d darkness,-0.714801933,unknown
Met.457,Glutathione,ecotype.223,3,0d darkness,-1.195973908,unknown
Met.486,Guanosine,ecotype.223,3,0d darkness,-0.551505286,unknown
Met.50,2-Isopropylmalic acid,ecotype.223,3,0d darkness,-0.106194552,unknown
Met.503,Histidine,ecotype.223,3,0d darkness,-1.445196329,unknown
Met.536,Iminodiacetic acid,ecotype.223,3,0d darkness,0.048774692,unknown
Met.545,Leucine,ecotype.223,3,0d darkness,-0.856375877,unknown
Met.563,Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,ecotype.223,3,0d darkness,-2.41157275,unknown
Met.564,Kaempferol 3-O-glucoside 7-O-rhamnoside,ecotype.223,3,0d darkness,-3.311901759,unknown
Met.569,Lactobionic acid,ecotype.223,3,0d darkness,-0.000749593,unknown
Met.570,Lactulose,ecotype.223,3,0d darkness,-0.332363606,unknown
Met.571,Isoleucine,ecotype.223,3,0d darkness,-1.246719782,unknown
Met.589,Loganin,ecotype.223,3,0d darkness,0.543246473,unknown
Met.60,"3,4-Dihydroxybenzoic acid",ecotype.223,3,0d darkness,-0.856165539,unknown
Met.614,Malic acid,ecotype.223,3,0d darkness,-0.637726956,unknown
Met.646,Mimosine,ecotype.223,3,0d darkness,0.054552849,unknown
Met.660,"N,N-Dimethylglycine",ecotype.223,3,0d darkness,-0.637248459,unknown
Met.669,N-Acetyl-L-Tyrosine,ecotype.223,3,0d darkness,-2.27719058,unknown
Met.674,Naringin,ecotype.223,3,0d darkness,-1.190919891,unknown
Met.684,N-Ethylmaleamic acid,ecotype.223,3,0d darkness,-0.34550379,unknown
Met.694,Nicotinamide adenine dinucleotide phosphate (NADP),ecotype.223,3,0d darkness,0.103427414,unknown
Met.719,O-palmitoyl-L-Carnitine chloride,ecotype.223,3,0d darkness,-0.026351556,unknown
Met.728,Pantothenic acid (Vitamine B5) ,ecotype.223,3,0d darkness,-0.108185826,unknown
Met.73,3-Deoxy-D-manno-2-octulosonic acid,ecotype.223,3,0d darkness,-0.166457301,unknown
Met.77,3-Hydroxyphenylacetic acid,ecotype.223,3,0d darkness,0.039904169,unknown
Met.779,porphobilinogen,ecotype.223,3,0d darkness,-0.407137036,unknown
Met.809,Purine,ecotype.223,3,0d darkness,-0.845531599,unknown
Met.817,Pyroglutamic acid,ecotype.223,3,0d darkness,-1.218276762,unknown
Met.819,"Quercetin 3,7-dirhamnoside",ecotype.223,3,0d darkness,-2.252918264,unknown
Met.821,Quercetin 3-O-glucoside 7-O-rhamnoside,ecotype.223,3,0d darkness,-2.781309724,unknown
Met.830,Riboflavin ,ecotype.223,3,0d darkness,-0.287178657,unknown
Met.836,Rutin,ecotype.223,3,0d darkness,-2.470083182,unknown
Met.837,Saccharic acid,ecotype.223,3,0d darkness,0.481796564,unknown
Met.840,S-Adenosyl-L-Homocysteine,ecotype.223,3,0d darkness,-0.780563929,unknown
Met.846,Sedoheptulose,ecotype.223,3,0d darkness,0.097215055,unknown
Met.850,Serine,ecotype.223,3,0d darkness,-1.007837683,amino acid
Met.876,Sinapoylglucose,ecotype.223,3,0d darkness,-2.576174234,unknown
Met.886,Succinoadenosine,ecotype.223,3,0d darkness,0.066353404,unknown
Met.936,"Trehalose, alpha,beta-",ecotype.223,3,0d darkness,0.111863273,unknown
Met.964,Tyrosine,ecotype.223,3,0d darkness,-0.906327035,unknown
Met.985,Uric acid,ecotype.223,3,0d darkness,-1.208180654,unknown
Met.986,Uridine,ecotype.223,3,0d darkness,-0.793506979,unknown
Met.989,Uridine-5'-diphosphogalactose,ecotype.223,3,0d darkness,-0.601982816,unknown
Met.1,(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,ecotype.6940,4,0d darkness,-0.282489441,unknown
Met.1006,Phe-Val,ecotype.6940,4,0d darkness,-0.010204207,unknown
Met.125,6-Hydroxymelatonin,ecotype.6940,4,0d darkness,-0.033338668,unknown
Met.136,adenine,ecotype.6940,4,0d darkness,-0.054781341,unknown
Met.138,Adenosine,ecotype.6940,4,0d darkness,-0.650148524,unknown
Met.193,Allantoic acid,ecotype.6940,4,0d darkness,0.315959863,unknown
Met.202,alpha-D-Galacturonic acid 1-phosphate,ecotype.6940,4,0d darkness,-0.449092538,unknown
Met.205,alpha-Ketoglutaric acid,ecotype.6940,4,0d darkness,-0.92719873,unknown
Met.222,Argininosuccinic acid,ecotype.6940,4,0d darkness,-0.62873018,unknown
Met.261,Aspartic acid,ecotype.6940,4,0d darkness,-0.379766604,oragnic acid
Met.300,beta-Nicotinamide adenine dinucleotide,ecotype.6940,4,0d darkness,-0.592604163,unknown
Met.312,Cellobiitol,ecotype.6940,4,0d darkness,-0.00952363,unknown
Met.321,Citric acid,ecotype.6940,4,0d darkness,0.790130558,unknown
Met.384,Flavin Mononucleotide,ecotype.6940,4,0d darkness,-0.127074214,unknown
Met.385,Flavine adenine dinucleotide (FAD),ecotype.6940,4,0d darkness,-0.3939438,unknown
Met.387,Formimino-L-Aspartic acid,ecotype.6940,4,0d darkness,0.235179809,unknown
Met.409,Glucoalyssin,ecotype.6940,4,0d darkness,-0.835206652,unknown
Met.412,Glucohirsutin,ecotype.6940,4,0d darkness,-0.191298314,unknown
Met.413,Glucoiberin,ecotype.6940,4,0d darkness,-1.441108129,unknown
Met.414,Gluconic acid,ecotype.6940,4,0d darkness,-0.042002611,unknown
Met.422,"Glutamic acid, N-acetyl-",ecotype.6940,4,0d darkness,-0.751897517,unknown
Met.457,Glutathione,ecotype.6940,4,0d darkness,-0.807159987,unknown
Met.486,Guanosine,ecotype.6940,4,0d darkness,-0.710722459,unknown
Met.50,2-Isopropylmalic acid,ecotype.6940,4,0d darkness,-0.406441301,unknown
Met.503,Histidine,ecotype.6940,4,0d darkness,-1.69586952,unknown
Met.536,Iminodiacetic acid,ecotype.6940,4,0d darkness,0.314680168,unknown
Met.545,Leucine,ecotype.6940,4,0d darkness,-0.745554047,unknown
Met.563,Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,ecotype.6940,4,0d darkness,-2.182616159,unknown
Met.564,Kaempferol 3-O-glucoside 7-O-rhamnoside,ecotype.6940,4,0d darkness,-3.208670145,unknown
Met.569,Lactobionic acid,ecotype.6940,4,0d darkness,-0.070169078,unknown
Met.570,Lactulose,ecotype.6940,4,0d darkness,-0.259067884,unknown
Met.571,Isoleucine,ecotype.6940,4,0d darkness,-0.874333835,unknown
Met.589,Loganin,ecotype.6940,4,0d darkness,0.560869438,unknown
Met.60,"3,4-Dihydroxybenzoic acid",ecotype.6940,4,0d darkness,-1.198414942,unknown
Met.614,Malic acid,ecotype.6940,4,0d darkness,-0.646238539,unknown
Met.646,Mimosine,ecotype.6940,4,0d darkness,-0.00559461,unknown
Met.660,"N,N-Dimethylglycine",ecotype.6940,4,0d darkness,-0.621838426,unknown
Met.669,N-Acetyl-L-Tyrosine,ecotype.6940,4,0d darkness,-2.383240197,unknown
Met.674,Naringin,ecotype.6940,4,0d darkness,-1.541034611,unknown
Met.684,N-Ethylmaleamic acid,ecotype.6940,4,0d darkness,0.174137325,unknown
Met.694,Nicotinamide adenine dinucleotide phosphate (NADP),ecotype.6940,4,0d darkness,-0.007443996,unknown
Met.719,O-palmitoyl-L-Carnitine chloride,ecotype.6940,4,0d darkness,0.007215079,unknown
Met.728,Pantothenic acid (Vitamine B5) ,ecotype.6940,4,0d darkness,-0.331894857,unknown
Met.73,3-Deoxy-D-manno-2-octulosonic acid,ecotype.6940,4,0d darkness,-0.3849066,unknown
Met.77,3-Hydroxyphenylacetic acid,ecotype.6940,4,0d darkness,1.080453473,unknown
Met.779,porphobilinogen,ecotype.6940,4,0d darkness,-0.387664873,unknown
Met.809,Purine,ecotype.6940,4,0d darkness,-0.547629537,unknown
Met.817,Pyroglutamic acid,ecotype.6940,4,0d darkness,-1.242817671,unknown
Met.819,"Quercetin 3,7-dirhamnoside",ecotype.6940,4,0d darkness,-3.611380549,unknown
Met.821,Quercetin 3-O-glucoside 7-O-rhamnoside,ecotype.6940,4,0d darkness,-3.529457742,unknown
Met.830,Riboflavin ,ecotype.6940,4,0d darkness,-0.382571616,unknown
Met.836,Rutin,ecotype.6940,4,0d darkness,-2.626750097,unknown
Met.837,Saccharic acid,ecotype.6940,4,0d darkness,0.515230011,unknown
Met.840,S-Adenosyl-L-Homocysteine,ecotype.6940,4,0d darkness,-0.713426683,unknown
Met.846,Sedoheptulose,ecotype.6940,4,0d darkness,0.215392254,unknown
Met.850,Serine,ecotype.6940,4,0d darkness,-0.899765857,amino acid
Met.876,Sinapoylglucose,ecotype.6940,4,0d darkness,-1.676020301,unknown
Met.886,Succinoadenosine,ecotype.6940,4,0d darkness,-0.798483405,unknown
Met.936,"Trehalose, alpha,beta-",ecotype.6940,4,0d darkness,0.122074446,unknown
Met.964,Tyrosine,ecotype.6940,4,0d darkness,-0.4521684,unknown
Met.985,Uric acid,ecotype.6940,4,0d darkness,-4.814953761,unknown
Met.986,Uridine,ecotype.6940,4,0d darkness,-0.89952197,unknown
Met.989,Uridine-5'-diphosphogalactose,ecotype.6940,4,0d darkness,-0.597598858,unknown
Met.1,(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,ecotype.6188,5,0d darkness,-0.201896788,unknown
Met.1006,Phe-Val,ecotype.6188,5,0d darkness,-1.031737558,unknown
Met.125,6-Hydroxymelatonin,ecotype.6188,5,0d darkness,-0.03549762,unknown
Met.136,adenine,ecotype.6188,5,0d darkness,-0.291033697,unknown
Met.138,Adenosine,ecotype.6188,5,0d darkness,-0.857792765,unknown
Met.193,Allantoic acid,ecotype.6188,5,0d darkness,0.425244331,unknown
Met.202,alpha-D-Galacturonic acid 1-phosphate,ecotype.6188,5,0d darkness,-0.341041907,unknown
Met.205,alpha-Ketoglutaric acid,ecotype.6188,5,0d darkness,-0.874636206,unknown
Met.222,Argininosuccinic acid,ecotype.6188,5,0d darkness,-0.531483769,unknown
Met.261,Aspartic acid,ecotype.6188,5,0d darkness,-0.418484172,oragnic acid
Met.300,beta-Nicotinamide adenine dinucleotide,ecotype.6188,5,0d darkness,-0.496454306,unknown
Met.312,Cellobiitol,ecotype.6188,5,0d darkness,-0.008956821,unknown
Met.321,Citric acid,ecotype.6188,5,0d darkness,1.411998739,unknown
Met.384,Flavin Mononucleotide,ecotype.6188,5,0d darkness,-0.099014872,unknown
Met.385,Flavine adenine dinucleotide (FAD),ecotype.6188,5,0d darkness,-0.301124579,unknown
Met.387,Formimino-L-Aspartic acid,ecotype.6188,5,0d darkness,0.206000694,unknown
Met.409,Glucoalyssin,ecotype.6188,5,0d darkness,-5.676964251,unknown
Met.412,Glucohirsutin,ecotype.6188,5,0d darkness,-0.113373761,unknown
Met.413,Glucoiberin,ecotype.6188,5,0d darkness,-1.403828254,unknown
Met.414,Gluconic acid,ecotype.6188,5,0d darkness,-0.009342374,unknown
Met.422,"Glutamic acid, N-acetyl-",ecotype.6188,5,0d darkness,-0.513942713,unknown
Met.457,Glutathione,ecotype.6188,5,0d darkness,-1.12140785,unknown
Met.486,Guanosine,ecotype.6188,5,0d darkness,-0.621408291,unknown
Met.50,2-Isopropylmalic acid,ecotype.6188,5,0d darkness,-0.21845637,unknown
Met.503,Histidine,ecotype.6188,5,0d darkness,-1.703785222,unknown
Met.536,Iminodiacetic acid,ecotype.6188,5,0d darkness,0.385392702,unknown
Met.545,Leucine,ecotype.6188,5,0d darkness,-0.554946661,unknown
Met.563,Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,ecotype.6188,5,0d darkness,-2.830113925,unknown
Met.564,Kaempferol 3-O-glucoside 7-O-rhamnoside,ecotype.6188,5,0d darkness,-4.102413243,unknown
Met.569,Lactobionic acid,ecotype.6188,5,0d darkness,-0.305024352,unknown
Met.570,Lactulose,ecotype.6188,5,0d darkness,-0.25291947,unknown
Met.571,Isoleucine,ecotype.6188,5,0d darkness,-1.19475434,unknown
Met.589,Loganin,ecotype.6188,5,0d darkness,1.186993638,unknown
Met.60,"3,4-Dihydroxybenzoic acid",ecotype.6188,5,0d darkness,-1.157435042,unknown
Met.614,Malic acid,ecotype.6188,5,0d darkness,-0.589906388,unknown
Met.646,Mimosine,ecotype.6188,5,0d darkness,0.041469754,unknown
Met.660,"N,N-Dimethylglycine",ecotype.6188,5,0d darkness,-0.646068597,unknown
Met.669,N-Acetyl-L-Tyrosine,ecotype.6188,5,0d darkness,-2.572905458,unknown
Met.674,Naringin,ecotype.6188,5,0d darkness,-1.369259439,unknown
Met.684,N-Ethylmaleamic acid,ecotype.6188,5,0d darkness,-0.331767056,unknown
Met.694,Nicotinamide adenine dinucleotide phosphate (NADP),ecotype.6188,5,0d darkness,0.115149137,unknown
Met.719,O-palmitoyl-L-Carnitine chloride,ecotype.6188,5,0d darkness,-0.014735545,unknown
Met.728,Pantothenic acid (Vitamine B5) ,ecotype.6188,5,0d darkness,-0.32330273,unknown
Met.73,3-Deoxy-D-manno-2-octulosonic acid,ecotype.6188,5,0d darkness,-0.403602133,unknown
Met.77,3-Hydroxyphenylacetic acid,ecotype.6188,5,0d darkness,0.200369538,unknown
Met.779,porphobilinogen,ecotype.6188,5,0d darkness,-0.650105937,unknown
Met.809,Purine,ecotype.6188,5,0d darkness,-1.011872599,unknown
Met.817,Pyroglutamic acid,ecotype.6188,5,0d darkness,-1.277548916,unknown
Met.819,"Quercetin 3,7-dirhamnoside",ecotype.6188,5,0d darkness,-2.818348867,unknown
Met.821,Quercetin 3-O-glucoside 7-O-rhamnoside,ecotype.6188,5,0d darkness,-4.035469055,unknown
Met.830,Riboflavin ,ecotype.6188,5,0d darkness,-0.461907883,unknown
Met.836,Rutin,ecotype.6188,5,0d darkness,-2.407766854,unknown
Met.837,Saccharic acid,ecotype.6188,5,0d darkness,0.252450297,unknown
Met.840,S-Adenosyl-L-Homocysteine,ecotype.6188,5,0d darkness,-0.736084699,unknown
Met.846,Sedoheptulose,ecotype.6188,5,0d darkness,-0.076149164,unknown
Met.850,Serine,ecotype.6188,5,0d darkness,-1.116123972,amino acid
Met.876,Sinapoylglucose,ecotype.6188,5,0d darkness,-2.146584291,unknown
Met.886,Succinoadenosine,ecotype.6188,5,0d darkness,-0.153526572,unknown
Met.936,"Trehalose, alpha,beta-",ecotype.6188,5,0d darkness,0.063490504,unknown
Met.964,Tyrosine,ecotype.6188,5,0d darkness,-0.68575624,unknown
Met.985,Uric acid,ecotype.6188,5,0d darkness,-1.825420554,unknown
Met.986,Uridine,ecotype.6188,5,0d darkness,-0.932913521,unknown
Met.989,Uridine-5'-diphosphogalactose,ecotype.6188,5,0d darkness,-0.718857189,unknown
Met.1,(D-Glycero-alpha-D-Manno-Heptopyranosyl)-Dihydrogenphosphate,ecotype.8271,6,0d darkness,-0.327784027,unknown
Met.1006,Phe-Val,ecotype.8271,6,0d darkness,-0.550365563,unknown
