,country,id,pid,pidc,time,ecotype,Mincirclediam,Normsmallpax,Normlargepax,Minrectarea,Mindistcenbdy,vrectsizey,vrectsizex,Compactness,Normrotmo,Area,Paxratio,Circumference,Excentricity,Maxdiam,Roundness,Bdryround,Bdrycount,Bdrytoarearatio,Conhullcirc,Conhullarea
11_magic_e5_w1arab_magic_w1,Germany,59,outside,noncorner,17,Zu-0,10.223,0.080294,0.13133,64.659,0.45369,8.7434,10.026,0.78241,0.21162,43.395,1.6355,37.752,0.05815,10.024,32.844,63.138,52.344,1.2062,27.882,55.463
11_magic_e5_w2arab_magic_w2,Germany,59,outside,noncorner,22,Zu-0,18.102,0.090645,0.13971,215.94,0.52066,14.807,16.452,0.72489,0.23035,132.57,1.5413,108.04,0.045363,17.543,88.056,129.49,131.02,0.98834,50.372,182.88
11_magic_e5_w3arab_magic_w3,Germany,59,outside,noncorner,25,Zu-0,24.566,0.11188,0.12568,430.01,0.48077,22.772,21.041,0.67745,0.23756,233.91,1.1233,143.25,0.0033744,23.453,87.733,148.6,186.44,0.79704,69.182,345.28
11_magic_e5_w4arab_magic_w4,Germany,59,outside,noncorner,28,Zu-0,33.779,0.10506,0.12119,761.95,1.2687,27.986,27.846,0.73645,0.22625,420.96,1.1536,193.08,0.005088,30.469,88.557,201.93,291.55,0.69259,90.78,571.61
11_magic_e5_w5arab_magic_w5,Germany,59,outside,noncorner,32,Zu-0,47.305,0.1082,0.11182,1370.1,2.2384,42.984,41.932,0.71328,0.22001,832.83,1.0335,243.5,0.00027103,45.215,71.191,150.03,353.49,0.42444,130.34,1167.6
11_magic_e6_w1arab_magic_w1,Germany,71,outside,noncorner,17,Po-0,12.242,0.064881,0.14838,86.11,0.71901,11.308,7.8108,0.84713,0.21326,56.863,2.287,51.177,0.1533,11.885,46.059,72.826,64.351,1.1317,31.202,67.124
11_magic_e6_w2arab_magic_w2,Germany,71,outside,noncorner,22,Po-0,19.337,0.086951,0.12569,251.65,1.0178,16.303,18.098,0.7585,0.21265,151.63,1.4456,98.64,0.033196,18.148,64.169,100.17,123.24,0.81281,52.883,199.9
11_magic_e6_w3arab_magic_w3,Germany,71,outside,noncorner,25,Po-0,27.534,0.10419,0.13846,506.31,0.68433,24.104,25.702,0.67961,0.24264,270.25,1.329,136.51,0.01995,26.292,68.952,136.45,192.03,0.71057,74.701,397.65
11_magic_e6_w4arab_magic_w4,Germany,71,outside,noncorner,28,Po-0,35.651,0.10884,0.1292,861.3,1.5596,32.72,30.213,0.67709,0.23804,456.94,1.1871,190.54,0.0073159,33.777,79.451,145.51,257.86,0.56432,98.139,674.85
11_magic_e6_w5arab_magic_w5,Germany,71,outside,noncorner,32,Po-0,44.131,0.1105,0.11646,1408.8,0.11548,39.076,40.729,0.69998,0.22697,780.43,1.0539,245.4,0.00068986,40.846,77.162,184.67,379.64,0.48645,122.86,1114.9
11_magic_e7_w1arab_magic_w1,Spain,83,outside,noncorner,17,Sf-2,12.432,0.1049,0.18253,90.055,0.86169,11.73,11.73,0.58788,0.28743,47.872,1.7401,56.412,0.072953,12.049,66.476,95.442,67.594,1.412,34.334,81.432
11_magic_e7_w2arab_magic_w2,Spain,83,outside,noncorner,22,Sf-2,21.66,0.085409,0.1853,294.03,-0.14496,18.502,18.352,0.68155,0.2707,157.66,2.1695,107.41,0.13615,20.92,73.176,143.47,150.4,0.95394,57.517,231.33
11_magic_e7_w3arab_magic_w3,Spain,83,outside,noncorner,25,Sf-2,33.36,0.12336,0.20112,656.4,0.26829,25.997,27.721,0.57869,0.32448,291.22,1.6304,177.51,0.057436,32.305,108.2,191.84,236.36,0.81163,86.129,503.23
11_magic_e7_w4arab_magic_w4,Spain,83,outside,noncorner,28,Sf-2,38.355,0.15248,0.18581,939.27,0.41156,33.879,36.379,0.53187,0.33828,404.38,1.2186,224.03,0.0097051,37.081,124.11,231.17,305.75,0.75609,105.51,760.29
11_magic_e7_w5arab_magic_w5,Spain,83,outside,noncorner,32,Sf-2,52.682,0.10137,0.23471,1771,-0.41982,50.121,40.639,0.55243,0.33609,766.8,2.3153,299.76,0.1574,50.985,117.19,285.94,468.25,0.61065,142.73,1388
11_magic_e8_w1arab_magic_w1,Russia,95,outside,noncorner,17,Wil-2,9.4618,0.081348,0.13173,56.319,0.53866,7.6653,8.3622,0.75583,0.21308,34.99,1.6194,39.65,0.055911,8.8451,44.93,66.714,48.315,1.3808,25.802,46.294
11_magic_e8_w2arab_magic_w2,Russia,95,outside,noncorner,22,Wil-2,15.82,0.080743,0.14919,168,0.84804,14.473,13.13,0.75579,0.22993,95.216,1.8477,62.793,0.088606,15.105,41.41,84.452,89.673,0.94178,43.016,125.98
11_magic_e8_w3arab_magic_w3,Russia,95,outside,noncorner,25,Wil-2,22.168,0.081517,0.15419,273.69,0.79889,20.957,15.519,0.73004,0.2357,155.72,1.8915,103.6,0.095057,21.523,68.932,115.48,134.1,0.86117,55.562,213.3
11_magic_e8_w4arab_magic_w4,Russia,95,outside,noncorner,28,Wil-2,26.686,0.108,0.13025,487.3,1.2465,23.743,24.993,0.68708,0.23826,259.5,1.206,139.19,0.0087226,25.115,74.663,129.84,183.56,0.70736,73.363,377.68
11_magic_e8_w5arab_magic_w5,Russia,95,outside,noncorner,32,Wil-2,36.808,0.090492,0.12391,895.88,1.7585,30.253,33.715,0.75579,0.21441,506.82,1.3694,179.52,0.0243,34.57,63.586,134.71,261.29,0.51555,98.49,670.59
11_magic_e9_w1arab_magic_w1,Norway,107,outside,noncorner,17,Oy-0,12.32,0.07721,0.1421,89.788,0.60696,9.2865,10.215,0.77696,0.21931,58.063,1.8404,51.66,0.08754,11.983,45.963,67.172,62.452,1.0756,32.689,74.732
11_magic_e9_w2arab_magic_w2,Norway,107,outside,noncorner,22,Oy-0,20.774,0.069778,0.13464,286.11,1.022,19.358,19.208,0.80335,0.20442,191.15,1.9296,73.135,0.10069,20.481,27.981,85.11,127.55,0.66727,57.488,237.94
11_magic_e9_w3arab_magic_w3,Norway,107,outside,noncorner,25,Oy-0,28.574,0.083516,0.13375,563.38,1.6218,26.585,22.332,0.74191,0.21726,314.65,1.6015,153.48,0.053454,28.068,74.86,117.09,191.94,0.61002,76.928,424.12
11_magic_e9_w4arab_magic_w4,Norway,107,outside,noncorner,28,Oy-0,34.823,0.090994,0.10801,799.39,1.4418,30.876,26.147,0.77248,0.19901,507.55,1.187,158.22,0.0073127,33.671,49.32,127.91,254.8,0.50201,97.06,657.04
11_magic_e9_w5arab_magic_w5,Norway,107,outside,noncorner,32,Oy-0,44.207,0.090482,0.10341,1523.5,0.96556,40.548,39.196,0.77955,0.19389,929.36,1.1429,267.4,0.0044474,42.931,76.938,159.78,385.35,0.41464,126.44,1192.2
12_magic_e1_w1arab_magic_w1,Scotland,12,outside,noncorner,17,EDi-0,13.752,0.081598,0.17299,117.06,0.30594,9.874,12.197,0.73046,0.25459,62.681,2.12,63.555,0.12887,13.351,64.442,96.641,77.83,1.2417,35.149,85.81
12_magic_e1_w2arab_magic_w2,Scotland,12,outside,noncorner,22,EDi-0,26.133,0.081031,0.17561,394,0.23521,23.114,17.861,0.69056,0.25664,209.68,2.1671,136.11,0.1358,25.672,88.354,145.56,174.7,0.8332,66.635,303.64
12_magic_e1_w3arab_magic_w3,Scotland,12,outside,noncorner,25,EDi-0,36.5,0.13443,0.16061,821.82,1.2091,30.832,28.275,0.59201,0.29504,394.35,1.1947,215.91,0.0078691,35.461,118.21,181.94,267.86,0.67925,99.27,666.12
12_magic_e1_w4arab_magic_w4,Scotland,12,outside,noncorner,28,EDi-0,46.269,0.13056,0.1498,1398.8,0.53067,37.06,38.31,0.59037,0.28035,660.04,1.1474,240.28,0.0047101,44.799,87.471,208.87,371.3,0.56254,125.02,1118
12_magic_e1_w5arab_magic_w5,Scotland,12,outside,noncorner,32,EDi-0,56.571,0.11388,0.15254,2442.5,0.45709,50.702,50.101,0.61211,0.26642,1144.7,1.3394,409.68,0.021049,53.893,146.63,296.79,582.85,0.5092,160.42,1870
12_magic_e10_w1arab_magic_w1,Lithuania,120,outside,corner,17,Kn-0,10.793,0.055012,0.18626,66.174,0.45396,8.3579,8.4739,0.77558,0.24127,39.118,3.3858,43.1,0.29591,10.614,47.488,68.521,51.772,1.3235,27.43,50.436
12_magic_e10_w2arab_magic_w2,Lithuania,120,outside,corner,22,Kn-0,19.852,0.066385,0.16795,224.38,0.43806,13.055,18.607,0.77181,0.23433,141.82,2.5299,82.481,0.18785,19.274,47.972,80.946,107.14,0.7555,51.582,183.74
12_magic_e10_w3arab_magic_w3,Lithuania,120,outside,corner,25,Kn-0,26.987,0.096248,0.14871,437.08,1.6327,22.464,21.401,0.69918,0.24496,247.72,1.5451,136.32,0.045873,26.178,75.012,122.78,174.4,0.70401,70.833,354.3
12_magic_e10_w4arab_magic_w4,Lithuania,120,outside,corner,28,Kn-0,35.916,0.11224,0.12956,796.08,1.1105,31.015,27.955,0.67284,0.24179,437,1.1543,175.33,0.0051312,34.897,70.344,124.93,233.65,0.53467,97.51,649.49
12_magic_e10_w5arab_magic_w5,Lithuania,120,outside,corner,32,Kn-0,45.173,0.10434,0.12408,1606.7,1.8659,43.251,39.647,0.65475,0.22842,788.52,1.1892,283.03,0.0074697,43.627,101.59,173.09,369.43,0.46852,129.57,1204.3
12_magic_e11_w1arab_magic_w1,Italy,132,outside,noncorner,17,Ct-1,10.441,0.1053,0.17182,64.907,0.36819,9.9833,8.8225,0.64146,0.27711,37.031,1.6318,49.715,0.057623,10.137,66.743,93.172,58.739,1.5862,28.449,57.73
12_magic_e11_w2arab_magic_w2,Italy,132,outside,noncorner,22,Ct-1,18.278,0.10985,0.17425,194.14,0.24724,17.525,15.278,0.63036,0.28409,104.53,1.5863,83.004,0.051394,17.963,65.91,111.27,107.85,1.0317,48.995,165.83
12_magic_e11_w3arab_magic_w3,Italy,132,outside,noncorner,25,Ct-1,25.779,0.12887,0.20378,373.05,-0.62562,21.157,24.883,0.54694,0.33265,174.75,1.5813,149.68,0.050713,25.143,128.2,176,175.38,1.0036,67.871,319.52
12_magic_e11_w4arab_magic_w4,Italy,132,outside,noncorner,28,Ct-1,33.574,0.15221,0.20824,628.12,0.25418,30.03,32.671,0.49939,0.36045,278.06,1.3681,165.14,0.024158,32.59,98.078,156.82,208.82,0.75099,90.78,556.79
12_magic_e11_w5arab_magic_w5,Italy,132,outside,noncorner,32,Ct-1,51.214,0.1568,0.21977,1596.2,0.12722,49.72,40.407,0.44675,0.37657,556.57,1.4016,318.65,0.02796,49.802,182.44,266.1,384.84,0.69145,134.04,1245.8
12_magic_e12_w1arab_magic_w1,Germany,144,outside,corner,17,Wu-0,8.5128,0.091679,0.12294,43.017,0.56221,7.3134,6.7329,0.76929,0.21462,28.353,1.3409,36.228,0.021211,8.282,46.289,69.356,44.344,1.564,22.856,36.856
12_magic_e12_w2arab_magic_w2,Germany,144,outside,corner,22,Wu-0,13.881,0.085773,0.11305,135.12,0.72724,11.683,12.283,0.82253,0.19883,82.879,1.3181,53.744,0.018827,13.203,34.852,74.33,78.488,0.94703,37.57,100.76
12_magic_e12_w3arab_magic_w3,Germany,144,outside,corner,25,Wu-0,19.217,0.10447,0.12045,262.84,0.49215,17.165,15.701,0.72977,0.22492,141.29,1.1529,99.521,0.0050443,17.884,70.099,130.89,135.99,0.96248,52.31,193.61
12_magic_e12_w4arab_magic_w4,Germany,144,outside,corner,28,Wu-0,25.395,0.10541,0.12977,424.87,0.94196,24.052,21.549,0.70464,0.23518,234.34,1.2312,132.01,0.010736,24.489,74.371,142.85,182.96,0.78075,68.877,332.56
12_magic_e12_w5arab_magic_w5,Germany,144,outside,corner,32,Wu-0,34.276,0.10719,0.12027,818.58,0.58159,30.042,32.746,0.69111,0.22746,442.38,1.122,189.38,0.0033075,32.948,81.076,160.52,266.47,0.60237,94.383,640.1
12_magic_e13_w1arab_magic_w1,Japan,156,outside,noncorner,17,Tsu-0,10.574,0.086616,0.12925,71.379,0.2344,9.1642,9.3962,0.77513,0.21587,46.802,1.4922,43.699,0.039005,10.169,40.801,83.221,62.409,1.3335,28.995,60.38
12_magic_e13_w2arab_magic_w2,Japan,156,outside,noncorner,22,Tsu-0,22.184,0.10657,0.14768,318.49,0.54495,19.838,16.682,0.69006,0.25425,165.89,1.3858,115.13,0.026149,20.98,79.908,128.63,146.08,0.88056,58.815,240.4
12_magic_e13_w3arab_magic_w3,Japan,156,outside,noncorner,25,Tsu-0,28.85,0.1368,0.15604,546.09,0.9964,23.774,24.969,0.62158,0.29284,250.49,1.1407,182.4,0.0043195,26.794,132.82,204.48,226.32,0.9035,76.823,402.99
12_magic_e13_w4arab_magic_w4,Japan,156,outside,noncorner,28,Tsu-0,34.157,0.12167,0.14874,870.87,-0.16034,30.722,31.835,0.5978,0.2704,406.93,1.2225,268.48,0.010022,32.382,177.13,269.68,331.27,0.81408,97.252,680.71
12_magic_e13_w5arab_magic_w5,Japan,156,outside,noncorner,32,Tsu-0,54.583,0.11271,0.13346,2241.8,2.3963,48.132,48.282,0.63285,0.24617,1082.8,1.1841,433.81,0.0071079,53.116,173.79,257.11,527.64,0.48727,154.49,1711.1
12_magic_e14_w1arab_magic_w1,USA,168,outside,corner,17,Col-0,10.407,0.077272,0.16764,66.409,0.66462,9.9762,8.0042,0.72628,0.24491,38.311,2.1694,49.459,0.13614,10.157,63.851,90.288,58.813,1.5352,27.354,52.75
12_magic_e14_w2arab_magic_w2,USA,168,outside,corner,22,Col-0,17.647,0.1066,0.15202,204.22,0.85987,17.283,15.329,0.67724,0.25862,109.52,1.4262,84.834,0.030854,17.175,65.714,107.5,108.51,0.99076,48.435,161.71
12_magic_e14_w3arab_magic_w3,USA,168,outside,corner,25,Col-0,24.369,0.11635,0.16345,412.86,0.52164,20.587,23.508,0.60797,0.2798,191.31,1.4049,132.49,0.028343,23.61,91.749,158.72,174.25,0.91086,66.739,314.66
12_magic_e14_w4arab_magic_w4,USA,168,outside,corner,28,Col-0,31.692,0.10904,0.14817,666.47,1.6083,25.162,28.915,0.65736,0.2572,331.27,1.3589,196.75,0.023144,30.237,116.85,183.18,246.34,0.7436,84.638,503.94
12_magic_e14_w5arab_magic_w5,USA,168,outside,corner,32,Col-0,41.033,0.099072,0.13302,1252.2,1.8853,33.993,37.152,0.66907,0.2321,658.39,1.3427,247.24,0.021398,39.866,92.844,147.24,311.35,0.4729,116.95,984.03
12_magic_e15_w1arab_magic_w1,Russia,180,outside,noncorner,17,Rsch-4,11.553,0.058623,0.19134,73.592,0.57302,9.6786,8.1807,0.79488,0.24997,40.797,3.264,46.293,0.28192,11.269,52.53,73.731,54.845,1.3443,28.113,51.325
12_magic_e15_w2arab_magic_w2,Russia,180,outside,noncorner,22,Rsch-4,21.244,0.10445,0.12661,312.37,0.89318,18.712,17.215,0.72113,0.23106,165.97,1.2121,100.89,0.0091944,19.82,61.336,113.79,137.42,0.82802,57.653,230.15
12_magic_e15_w3arab_magic_w3,Russia,180,outside,noncorner,25,Rsch-4,30.714,0.10571,0.14962,601.45,1.0229,24.414,27.598,0.6644,0.25533,299.53,1.4154,169.82,0.029578,29.059,96.276,178.36,231.13,0.77166,81.403,450.83
12_magic_e15_w4arab_magic_w4,Russia,180,outside,noncorner,28,Rsch-4,38.558,0.11247,0.14078,1040.5,2.1397,30.566,35.984,0.64714,0.25325,504.93,1.2517,232.04,0.012494,35.914,106.63,201.88,319.28,0.63231,106.29,780.26
12_magic_e15_w5arab_magic_w5,Russia,180,outside,noncorner,32,Rsch-4,54.8,0.1164,0.13099,2102.7,2.0992,49.39,43.535,0.64481,0.24739,1020,1.1253,367.8,0.0034764,50.748,132.62,224.26,478.29,0.46889,150.02,1581.9
12_magic_e16_w1arab_magic_w1,Germany,192,outside,corner,17,No-0,7.1296,0.071794,0.11467,31.394,0.97264,5.8763,7.0285,0.86226,0.18646,22.689,1.5972,24.112,0.052867,6.9602,25.625,36.571,28.805,1.2696,19.104,26.313
12_magic_e16_w2arab_magic_w2,Germany,192,outside,corner,22,No-0,12.649,0.0585,0.13402,98.394,0.96976,12.275,8.9819,0.88062,0.19252,66.781,2.291,44.637,0.15388,12.281,29.836,44.462,54.49,0.81596,32.428,75.834
12_magic_e16_w3arab_magic_w3,Germany,192,outside,corner,25,No-0,17.268,0.066999,0.15218,175.23,0.94592,16.585,15.922,0.77191,0.21918,123.87,2.2714,73.035,0.15104,16.882,43.063,79.946,99.512,0.80338,47.73,160.47
12_magic_e16_w4arab_magic_w4,Germany,192,outside,corner,28,No-0,24.347,0.085267,0.12863,380.84,0.18939,19.451,22.508,0.7612,0.2139,230.81,1.5086,101.88,0.041098,23.638,44.972,118.83,165.61,0.71753,64.662,303.22
12_magic_e16_w5arab_magic_w5,Germany,192,outside,corner,32,No-0,37.086,0.074364,0.13851,764.35,1.9592,33.027,29.124,0.78687,0.21287,494.5,1.8625,172.65,0.090793,36.41,60.28,127.1,250.7,0.50699,95.881,628.43
12_magic_e17_w1arab_magic_w1,Ireland,204,outside,noncorner,17,Bur-0,14.777,0.081908,0.18236,119.96,0.61531,12.514,9.8487,0.70475,0.26427,68.066,2.2264,63.732,0.14448,14.347,59.674,85.917,76.472,1.1235,37.417,96.581
12_magic_e17_w2arab_magic_w2,Ireland,204,outside,noncorner,22,Bur-0,25.599,0.10617,0.14815,370.42,0.5317,19.32,22.315,0.66929,0.25432,213.44,1.3955,126.1,0.027258,24.862,74.504,117.19,158.15,0.74096,68.117,318.91
12_magic_e17_w3arab_magic_w3,Ireland,204,outside,noncorner,25,Bur-0,32.649,0.12532,0.13086,690.69,0.78785,24.922,28.103,0.65257,0.25618,351.61,1.0441,179.41,0.00046641,31.177,91.543,184.62,254.78,0.72462,88.272,538.81
12_magic_e17_w4arab_magic_w4,Ireland,204,outside,noncorner,28,Bur-0,39.014,0.10538,0.14054,1099.9,1.5704,35.736,34.068,0.64926,0.24592,541.54,1.3337,245.77,0.020446,37.888,111.54,206,334,0.61676,108.91,834.09
12_magic_e17_w5arab_magic_w5,Ireland,204,outside,noncorner,32,Bur-0,60.806,0.10336,0.14237,2563.8,0.64341,49.164,53.062,0.60807,0.24574,1213.4,1.3774,972.34,0.025201,57.619,779.17,320.89,624,0.51426,166.75,1995.5
12_magic_e18_w1arab_magic_w1,Germany,216,outside,corner,17,Ler-0,11.225,0.075026,0.12342,80.421,0.80127,8.69,9.7328,0.84131,0.19845,55.943,1.645,48.627,0.059471,10.992,42.267,60.476,58.165,1.0397,30.499,66.495
12_magic_e18_w2arab_magic_w2,Germany,216,outside,corner,22,Ler-0,15.701,0.073471,0.13218,162.56,0.11905,14.827,11.233,0.82348,0.20565,108.4,1.7991,58.258,0.081495,14.9,31.308,68.648,86.266,0.79578,43.125,131.64
12_magic_e18_w3arab_magic_w3,Germany,216,outside,corner,25,Ler-0,23.158,0.083695,0.1663,339.7,0.7563,22.138,16.438,0.75796,0.24999,181.1,1.987,96.34,0.10918,22.031,51.249,96.256,132.03,0.72904,60.488,238.94
12_magic_e18_w4arab_magic_w4,Germany,216,outside,corner,28,Ler-0,30.002,0.095791,0.17279,594.9,1.3657,25.168,25.864,0.69052,0.26858,288.44,1.8038,157.84,0.082193,29.23,86.376,131.38,194.67,0.6749,79.876,417.72
12_magic_e18_w5arab_magic_w5,Germany,216,outside,corner,32,Ler-0,38.824,0.10953,0.13492,1017.4,0.48192,29.679,36.274,0.70766,0.24445,543.31,1.2319,198.81,0.010795,36.333,72.748,126.35,262.01,0.48225,105.37,767.76
12_magic_e19_w1arab_magic_w1,Libya,228,outside,corner,17,Mt-0,16.201,0.088729,0.24247,150.52,0.82373,15.072,10.782,0.6121,0.3312,65.541,2.7327,66.078,0.21547,15.849,66.619,100.49,81.156,1.2383,40.256,107.07
12_magic_e19_w2arab_magic_w2,Libya,228,outside,corner,22,Mt-0,26.227,0.1317,0.18133,430,0.69294,20.912,25.125,0.58226,0.31303,187.53,1.3769,144.66,0.02514,25.121,111.59,183.2,185.35,0.9884,69.609,322.07
12_magic_e19_w3arab_magic_w3,Libya,228,outside,corner,25,Mt-0,33.492,0.1602,0.18092,682.34,0.22218,27.567,32.206,0.5246,0.34111,276.41,1.1294,184.13,0.0036904,32.162,122.65,227.96,251.02,0.90815,88.519,526.89
12_magic_e19_w4arab_magic_w4,Libya,228,outside,corner,28,Mt-0,39.353,0.13502,0.17333,1021.2,0.92596,37.463,34.966,0.53919,0.30835,424.71,1.2838,287.81,0.015442,37.866,195.04,277.46,343.27,0.80827,107.1,787.67
12_magic_e19_w5arab_magic_w5,Libya,228,outside,corner,32,Mt-0,51.337,0.12968,0.14147,1929.4,1.1466,45.11,46.758,0.57764,0.27115,829.46,1.091,375.35,0.0018938,46.637,169.86,245,450.8,0.54348,141.93,1435.9
12_magic_e2_w1arab_magic_w1,CanaryI,24,outside,corner,17,Can-0,12.506,0.085567,0.1208,115.93,0.043677,10.339,11.5,0.81661,0.20636,72.586,1.4117,52.694,0.029142,12.082,38.254,90.575,81.083,1.1171,35.05,88.887
12_magic_e2_w2arab_magic_w2,CanaryI,24,outside,corner,22,Can-0,24.328,0.077159,0.17206,340.44,0.33616,21.162,16.36,0.7543,0.24922,183.88,2.23,97.804,0.14501,23.785,52.02,97.91,134.18,0.7297,61.08,243.78
12_magic_e2_w3arab_magic_w3,CanaryI,24,outside,corner,25,Can-0,34.516,0.094558,0.15704,727.08,-0.15195,30.531,25.417,0.69133,0.2516,384.26,1.6608,176.64,0.061672,33.436,81.202,184,265.9,0.69199,89.817,555.83
12_magic_e2_w4arab_magic_w4,CanaryI,24,outside,corner,28,Can-0,37.144,0.09618,0.15332,823.32,0.28954,30.537,32.063,0.6861,0.2495,485.59,1.5941,200.87,0.052451,36.121,83.092,149.33,269.28,0.55454,100.14,707.75
12_magic_e2_w5arab_magic_w5,CanaryI,24,outside,corner,32,Can-0,55.982,0.10616,0.14166,2255.5,-0.089339,47.092,51.455,0.64599,0.24782,1081.3,1.3345,360.18,0.020526,53.63,119.98,195.64,459.93,0.42537,153.58,1673.8
12_magic_e3_w1arab_magic_w1,Russia,36,outside,noncorner,17,WS-0,12.487,0.07501,0.17806,92.932,0.71758,11.57,9.6029,0.69293,0.25307,50.867,2.3738,52.478,0.16581,12.123,54.14,83.117,65.022,1.2783,32.389,73.409
12_magic_e3_w2arab_magic_w2,Russia,36,outside,noncorner,22,WS-0,21.528,0.089475,0.14108,296.15,0.63604,16.013,19.306,0.7128,0.23055,173.27,1.5767,97.626,0.050091,21.085,55.007,126.18,147.86,0.85338,58.163,243.08
12_magic_e3_w3arab_magic_w3,Russia,36,outside,noncorner,25,WS-0,27.124,0.1211,0.13877,492.46,-0.20477,22.163,23.52,0.67047,0.25987,256.36,1.1459,150.75,0.0046235,25.469,88.646,176.28,212.58,0.82923,74.663,382.36
12_magic_e3_w4arab_magic_w4,Russia,36,outside,noncorner,28,WS-0,35.844,0.11652,0.13171,917.58,0.62562,32.255,31.004,0.65695,0.24823,448.96,1.1304,208.39,0.0037453,33.456,96.727,225.38,318.1,0.70853,98.611,683.4
12_magic_e3_w5arab_magic_w5,Russia,36,outside,noncorner,32,WS-0,46.479,0.1043,0.12701,1385.6,-0.19188,40.219,43.839,0.6861,0.23131,799.54,1.2178,288.09,0.0096451,44.515,103.8,246.29,443.75,0.55501,128.5,1165.3
12_magic_e4_w1arab_magic_w1,Netherlands,48,outside,corner,17,Hi-0,12.899,0.089943,0.20298,94.336,0.71226,9.1401,11.338,0.64662,0.29292,47.641,2.2568,54.198,0.14892,12.586,61.658,88.745,65.022,1.3648,32.876,73.676
12_magic_e4_w2arab_magic_w2,Netherlands,48,outside,corner,22,Hi-0,22.936,0.10789,0.1667,297.11,1.3175,22,19.007,0.63777,0.27459,162.63,1.5451,106.65,0.04587,22.541,69.938,117.58,138.28,0.85031,61.186,254.99
12_magic_e4_w3arab_magic_w3,Netherlands,48,outside,corner,25,Hi-0,31.187,0.11629,0.16994,560.85,0.27455,29.701,25.329,0.60462,0.28623,272.45,1.4614,175.48,0.035135,30.286,113.02,193.77,229.77,0.84333,81.456,450.62
12_magic_e4_w4arab_magic_w4,Netherlands,48,outside,corner,28,Hi-0,38.789,0.11212,0.15259,1072,1.577,36.009,33.089,0.62153,0.26472,485.86,1.3609,277.18,0.023371,36.18,158.13,263.58,357.86,0.73656,106.81,781.71
12_magic_e4_w5arab_magic_w5,Netherlands,48,outside,corner,32,Hi-0,52.352,0.1116,0.15084,1712.5,1.9393,45.448,43.035,0.59285,0.26245,846.96,1.3516,321.25,0.022358,51.649,121.85,259.66,468.96,0.5537,142.95,1428.6
12_magic_e5_w1arab_magic_w1,Germany,60,outside,noncorner,17,Zu-0,11.066,0.081456,0.117,81.321,0.99042,10.259,8.86,0.85083,0.19845,52.092,1.4364,40.18,0.032077,10.491,30.992,52.362,52.227,1.0026,29.783,61.225
12_magic_e5_w2arab_magic_w2,Germany,60,outside,noncorner,22,Zu-0,19.039,0.094288,0.10726,258.97,0.50375,16.004,17.051,0.7842,0.20155,151.2,1.1376,86.1,0.0041411,18.083,49.028,104.39,125.64,0.83092,52.088,192.81
12_magic_e5_w3arab_magic_w3,Germany,60,outside,noncorner,25,Zu-0,27.332,0.079509,0.14724,477.99,1.4745,21.307,24.104,0.74463,0.22674,268.22,1.8518,122.62,0.089216,26.907,56.055,144.04,196.56,0.73281,72.239,360.21
12_magic_e5_w4arab_magic_w4,Germany,60,outside,noncorner,28,Zu-0,35.627,0.091316,0.12879,901.71,0.44806,28.821,31.884,0.72984,0.22011,487.3,1.4104,221.19,0.028993,33.212,100.4,192.19,306.03,0.62802,97.573,667.68
12_magic_e5_w5arab_magic_w5,Germany,60,outside,noncorner,32,Zu-0,50.214,0.099082,0.10967,1818.1,1.9538,46.44,45.238,0.72748,0.20875,1009.3,1.1068,239.44,0.0025717,46.677,56.804,158.58,400.08,0.39638,140.65,1387.4
12_magic_e6_w1arab_magic_w1,Germany,72,outside,corner,17,Po-0,13.097,0.072916,0.14506,102.51,0.6744,12.824,10.026,0.78993,0.21798,65.003,1.9894,51.08,0.10954,12.741,40.139,64.632,64.818,0.99714,34.013,82.291
12_magic_e6_w2arab_magic_w2,Germany,72,outside,corner,22,Po-0,21.913,0.084124,0.14573,296.86,0.70459,16.602,20.192,0.73083,0.22985,172.5,1.7323,105.67,0.071834,21.289,64.726,102.72,133.12,0.77168,57.763,236.03
12_magic_e6_w3arab_magic_w3,Germany,72,outside,corner,25,Po-0,30.279,0.10917,0.1304,574.36,1.5409,23.97,27.566,0.70566,0.23957,324.02,1.1944,162.29,0.0078466,28.521,81.287,135.25,209.34,0.64608,81.683,459.17
12_magic_e6_w4arab_magic_w4,Germany,72,outside,corner,28,Po-0,36.272,0.098166,0.12054,928.88,0.62266,30.91,33.137,0.71023,0.2187,528.38,1.2279,218.01,0.010462,34.196,89.954,169.6,299.35,0.56655,101.38,743.94
12_magic_e6_w5arab_magic_w5,Germany,72,outside,corner,32,Po-0,50.112,0.10363,0.1078,1817.8,1.7139,43.284,43.585,0.70725,0.21142,1013.5,1.0402,318.42,0.00038906,48,100.04,200.44,450.73,0.44471,140.72,1433.1
12_magic_e7_w1arab_magic_w1,Spain,84,outside,noncorner,17,Sf-2,12.874,0.10165,0.16529,105.04,0.47141,10.917,12.311,0.66824,0.26694,57.462,1.626,61.539,0.05683,12.393,65.904,91.403,72.472,1.2612,34.928,85.991
12_magic_e7_w2arab_magic_w2,Spain,84,outside,noncorner,22,Sf-2,20.303,0.097641,0.16484,269.55,0.23827,18.949,18.502,0.69239,0.26248,153.03,1.6882,95.149,0.065545,19.328,59.16,123.67,137.57,0.89895,56.046,221.02
